user,date,content,replyCount,retweetCount,likeCount
CousinStizz,[  43   10 2021],POV of what dat casamigos bottle seen every 5 minutes last night https://t.co/XzI5ebdQfD,2,58,519
CousinStizz,[  43   10 2021],https://t.co/VI35q0A7NJ,2,3,127
CousinStizz,[  43   10 2021],You kno you fine as shit bitch believe in yaself!,1,106,242
CousinStizz,[  43   10 2021],Thought dis was da za! https://t.co/F35JWdXids,3,48,590
CousinStizz,[  43   10 2021],@Yoh31 @TimLarew Lmao 100%,0,0,2
CousinStizz,[  43   10 2021],@TimLarew @Yoh31 🤣 we deadass already planned this for you bro,1,0,2
CousinStizz,[  43   10 2021],Best thing you can do for me is inspire,3,76,236
CousinStizz,[  43   10 2021],@DullboyZini 💯,0,0,1
CousinStizz,[  43   10 2021],I said A LOT to ref #40 https://t.co/R5fkNRUisk,2,6,146
CousinStizz,[  43   10 2021],☘️☘️☘️☘️☘️ https://t.co/8aYooDzd9K,4,51,945
CousinStizz,[  43   10 2021],Imma step in the name of love 🥷🏾🤺⛸,0,4,31
CousinStizz,[  43   10 2021],Plymouth MA this weekend! ☃️🍀🤞🏾 https://t.co/BzTrZAtchS,2,25,169
CousinStizz,[  43   10 2021],@kennybeats Smh,1,0,51
CousinStizz,[  43   10 2021],Finna direct this vid w Rah in sweats and a bucket hat 👨🏾‍🎨,0,0,9
CousinStizz,[  43   10 2021],“Bring out the olives!” 🤣🤣🤣,1,2,15
CousinStizz,[  43   10 2021],Dripley’s believe it or not! https://t.co/k30ikLxloI,3,120,1049
CousinStizz,[  43   10 2021],@DullboyZini I was finna text you and see if you was good cause I knew that wasn’t part of da plan 🤣🤣🤣🤣🤣,1,0,16
CousinStizz,[  43   10 2021],https://t.co/ekJKDUjIiE https://t.co/ftI8JP7XIA,5,34,245
CousinStizz,[  42   10 2021],@MickeyChristmas This pic got me weak 🤣🤣🤣,0,0,5
CousinStizz,[  42   10 2021],ESPN the Ocho &gt;&gt;&gt; 🤣🤣 I’m watching professional tag,2,4,61
CousinStizz,[  42   10 2021],Imma island boi,6,116,535
CousinStizz,[  42   10 2021],🥷🏾❄️ https://t.co/HTSlWcryRk,1,7,166
CousinStizz,[  42   10 2021],@CheesebScotty Dm,0,0,2
CousinStizz,[  42   10 2021],Where dis? https://t.co/SlTNFJ3nMo,6,2,103
CousinStizz,[  42   10 2021],2 🔥🔥🔥 I woulda threw a baby on court! https://t.co/vaH7wHbMCI,0,3,33
CousinStizz,[  42   10 2021],Melo dressed like he got Gotham inna yolk!,1,2,42
