user,date,content,replyCount,retweetCount,likeCount
DrMaureenHanson,[  38    9 2021],@jebuschristffs I have been told that Mass ME will post a recording of the event later on their website.  Certainly valuable for the time differences and people who can't watch it all at once.,1,0,4
DrMaureenHanson,[  38    9 2021],Other researchers and I will be speaking at the Mass ME/CFS and FM Association meeting in October--you can register here: https://t.co/0fZAH9XlSB,3,34,98
DrMaureenHanson,[  38    9 2021],"Here's the speaker line-up for the Mass ME/CFS and FM association meeting on Oct 23.
https://t.co/YD7OyjPahj",0,10,28
DrMaureenHanson,[  37    9 2021],"Thank you for your confidence in our work and generous help funding it. As discussed in our recent review article and perspective https://t.co/j4rYSMkxt3, I think that the possibility of persistent EV infection needs to be further studied. https://t.co/Mrt3hE4QLu",2,17,79
DrMaureenHanson,[  35    8 2021],"The Biology of Fatigue url that I provided in my last tweet takes you to the workshop agenda, not a Brain Imaging Technologies workshop. https://t.co/ORTiEYBDqZ",2,9,41
DrMaureenHanson,[  35    8 2021],"There will be several talks from ME/CFS researchers, including myself, at an upcoming NIH workshop on the Biology of Fatigue. You can find more information here: https://t.co/FYYiB4RPPP",15,90,306
DrMaureenHanson,[  35    8 2021],We recently updated my lab website (this website is specific to work in my own lab) https://t.co/St3olkjEPW,2,22,70
DrMaureenHanson,[  32    8 2021],"@emilyesfraser @AshHultman You guessed it, the title was not known to me in advance.",1,0,10
DrMaureenHanson,[  32    8 2021],I was invited to write an op-ed about our recent paper on enteroviruses and ME/CFS.  But I did not select the images that were used!  https://t.co/R4zCv8eU5e,23,71,272
DrMaureenHanson,[  24    6 2021],"This news article shows that the Pfizer vaccine didn't protect a nurse against long COVID, though it may have prevented a serious acute infection. Unlike ME patients, the public is unaware of the danger of post-acute viral illness. https://t.co/wFgfTf2zwT",24,279,606
DrMaureenHanson,[  24    6 2021],I feel privileged to have discussed ME/CFS with Dr. Paul Cheney at several past conferences. He was an unconventional thinker who had a unique perspective on many aspects of the disease.,5,21,235
DrMaureenHanson,[  24    6 2021],"A review article written by Ph.D. student Adam O'Neal and myself is now fully available. Given new interest in post-acute viral syndromes, we wanted to reawaken interest in the evidence for enteroviral infections in ME.  https://t.co/bg2aBIuQ6l",21,127,321
DrMaureenHanson,[  19    5 2021],"For ME Awareness Day, I am posting a Pecha Kucha on ME/CFS.  Check out the Center for Enervating Neuroimmune Disease website for more information about our research. https://t.co/aS3UJWOn6F",6,57,142
