user,date,content,replyCount,retweetCount,likeCount
EmmaWatson,[  41   10 2021],Join me and please sign &gt;&gt;Petition Link &gt;&gt; https://t.co/rDC42xx1JI #iasolidarity #LetsReset @6ftfrom @filmtvcharity https://t.co/75oKp3l9Ga,876,2183,18157
EmmaWatson,[  20    5 2021],"I am sending so much love to you, hoping you’re ok and as well and happy as you can be in these strange times. And again, thank you to everyone working so hard to keep us safe and well. 
E 
Xx",5516,11338,159975
EmmaWatson,[  20    5 2021],"In the mean time please assume no news from me just means I’m quietly spending the pandemic the way most people are - failing to make sourdough bread (!), caring for my loved ones and doing my best not to spread a virus that is still affecting so many people.",1404,6880,132682
EmmaWatson,[  20    5 2021],If I have news - I promise I’ll share it with you.,3395,10599,215530
EmmaWatson,[  20    5 2021],"Dear Fans, 
Rumours about whether I’m engaged or not, or whether my career is “dormant or not” are ways to create clicks each time they are revealed to be true or untrue.",2766,10305,183767
EmmaWatson,[  35    8 2020],Three Lessons From Adrienne Maree Brown's 'Emergent Strategy' | Colorlines https://t.co/4qAhvbC5iK,2692,1306,30993
EmmaWatson,[  24    6 2020],Happy #PRIDE2020 Sending love x,559,7928,106462
EmmaWatson,[  24    6 2020],"I donate to @Mermaids_Gender and @mamacash. If you can, perhaps you’ll feel inclined to do the same. ❤️",879,4472,86529
EmmaWatson,[  24    6 2020],"I want my trans followers to know that I and so many other people around the world see you, respect you and love you for who you are.",705,13556,158299
EmmaWatson,[  24    6 2020],Trans people are who they say they are and deserve to live their lives without being constantly questioned or told they aren’t who they say they are.,9577,166091,931853
EmmaWatson,[  23    6 2020],"https://t.co/35Rtj8RgX8
A playlist of podcasts, writing, analysis and discussion that have helped me understand systemic racism, white supremacy and the experiences of black people, indigenous people and people of colour. ⁣",337,2666,17421
EmmaWatson,[  22    5 2020],Great to see @GoodOnYou_App updating their ratings to reflect how brands are treating their workers during the pandemic x https://t.co/5qflPAE3pV,313,764,12338
EmmaWatson,[  18    5 2020],#covid19uk is having a HUGE impact on grassroots women’s organisations’ stretched resources. @RosaForWomen is raising funds so these orgs can deliver vital work at this critical time of increased need. 💷 Please consider donating if you can 💷https://t.co/RYJxmzrqcB,214,560,6005
EmmaWatson,[  17    4 2020],"If you or someone you know is at risk of or experiencing #DomesticViolence in the UK, isolation advice does NOT apply. Police response &amp; support services are available 👇 https://t.co/bgKHaHXwUp",285,2498,16362
EmmaWatson,[  17    4 2020],"What's needed from UK gov? Abuse experts feeding into COBRA planning. Emergency funding for charities protecting &amp; supporting victims. Awareness campaigns aimed at potential perpetrators &amp; neighbours, family, friends - not solely aimed at victims. Abolishing “no recourse” rules. https://t.co/ohXbBcJzjn",243,694,8134
EmmaWatson,[  17    4 2020],"As a member of the #G7 #GEAC, I call on governments to apply a gender lens to #COVID19. Girls &amp; women must be front &amp; centre of response and recovery efforts. Read our statement in full: https://t.co/OzMP4QeY5U",235,607,5712
EmmaWatson,[  15    4 2020],👏🏻 Wow. So important. Thank you. 👧👧🏽👧🏻👧🏾👧🏿👧🏼👶🏻👶🏼👶🏽👶🏾👶🏿👩👩🏽👩🏼👩🏻👩🏾👩🏿👩‍🎓👩🏽‍🎓👩🏾‍🎓👩🏿‍🎓👩🏻‍🎓👩🏼‍🎓 https://t.co/6ObjDR6lcI,418,1234,22332
EmmaWatson,[  14    4 2020],@BreneBrown 's podcast #unlockingus helping me so much and keeping me company in these times. 🙏 Just love her so very much! X #COVID19Pandemic https://t.co/PDmDmJJchN,21,30,309
EmmaWatson,[   6    2 2020],This made my cry. Thank you @britmarling x https://t.co/SNjMYLotw9,284,732,11117
EmmaWatson,[  46   11 2019],Psyched to share a cover with @lizzo! 🙌🏼 @BritishVogue https://t.co/fIkLjw5wYO,284,948,22096
EmmaWatson,[  45   11 2019],My FULL @BritishVogue interview with @parislees: https://t.co/gR21lMsd1T @LittleWomen https://t.co/KxwcY3LFxN,1141,1875,30816
EmmaWatson,[  45   11 2019],Thank you @BritishVogue for letting me spend the day playing in Bushy Park! 💚 On newsstands in UK from Friday. @GoodOnYou_App @LittleWomen https://t.co/ALpjiPanxG,762,4723,66312
EmmaWatson,[  44   10 2019],Introducing Meg March! X @LittleWomen https://t.co/SV7B2ONrbb,1071,10638,116672
EmmaWatson,[  34    8 2019],"Governments play a crucial role in either promoting or thwarting change. @Katja_Iversen, @phumzileunwomen, @GenderEQ &amp; I urge leaders of G7 countries to use their power to ditch discriminatory laws and push for progress for women &amp; girls: https://t.co/9P5Ks6tq9P #BeBraveG7",290,785,7055
EmmaWatson,[  34    8 2019],"@G7 @10DowningStreet @BorisJohnson Every week, two women in England and Wales are killed by their current or former partner. To date, 34 states in the Council of Europe have ratified the Istanbul Convention.📝❤ Let’s not drag our feet on this any longer, @10DowningStreet! Let’s be number 35!",197,683,5722
