user,date,content,replyCount,retweetCount,likeCount
Giannis_An34,[  43   10 2021],"Hard to believe this was 8 years ago‼️#KeepBuilding 

📸 @natlyphoto https://t.co/6TMLUJZ92A",148,767,11551
Giannis_An34,[  43   10 2021],Don’t do them like that 🔥 👀@Kostas_ante13 https://t.co/tjwcWP2zOB,71,215,4291
Giannis_An34,[  43   10 2021],There’s no money for new rims so please be careful 😂😂 @Kostas_ante13 https://t.co/2lLoiosA2i,216,778,12826
Giannis_An34,[  43   10 2021],👀👀📝 https://t.co/DDGAQWJOXA,71,236,4618
Giannis_An34,[  43   10 2021],🥵🔥 https://t.co/W2y7FTaMnC,97,668,10855
Giannis_An34,[  43   10 2021],🥶🥶 https://t.co/Baplj70Lee,47,118,4704
Giannis_An34,[  43   10 2021],🔥🧑‍🍳 https://t.co/cWHTagAG6Q,366,2626,32197
Giannis_An34,[  43   10 2021],Keep building our chemistry😤 https://t.co/IKsWzZzUEt,132,963,24620
Giannis_An34,[  43   10 2021],4️⃣3️⃣3️⃣4️⃣ #Antetokounbros https://t.co/1wUfUZwl1K,164,2215,39322
Giannis_An34,[  42   10 2021],You can only control your effort and your attitude💪🏾 https://t.co/MpT1gL2PGk,192,1938,30451
Giannis_An34,[  42   10 2021],Certified. https://t.co/Y1Xp0xm4Oy,441,2643,37663
Giannis_An34,[  42   10 2021],Always working #jblaudio @JBLaudio https://t.co/Vt4fnFGsWe,69,302,8748
Giannis_An34,[  42   10 2021],Dreams do come true. #FOE  @Thanasis_ante43 https://t.co/yos7Nnm0VD,356,4150,56797
Giannis_An34,[  42   10 2021],There’s always another challenge. https://t.co/QglNbth35a,181,1618,25500
Giannis_An34,[  42   10 2021],🔥🔥 https://t.co/6V2LTjGijf https://t.co/8C14aXYKAB,49,71,2000
Giannis_An34,[  41   10 2021],"Sun, wind, water.
The only way to the planet’s future.
#protergia #futureenergy

Ήλιος, αέρας, νερό.
Φροντίζουμε για το μέλλον του πλανήτη μας. https://t.co/NjsWr61EqW",69,120,2289
Giannis_An34,[  41   10 2021],It’s always about getting better 💪🏾 https://t.co/fsyk0RXNCU,469,4058,70645
Giannis_An34,[  41   10 2021],😤😤 That’s the joy im talking @Kostas_ante13 https://t.co/ktHWCyh45g,41,91,3400
Giannis_An34,[  41   10 2021],Another step ✅ https://t.co/KSeCSx8CzH,159,925,25865
Giannis_An34,[  41   10 2021],Step by step. #BuildGoodHabits https://t.co/X2vrk9PBzr,141,942,21105
Giannis_An34,[  40   10 2021],Lets have a blessed season🙌🏾 https://t.co/vRf5F8sgPr,164,889,21207
Giannis_An34,[  40   10 2021],Let’s goooo! @Brewers @ChristianYelich 🔥🔥 https://t.co/zY1AsASDUd,48,518,7497
Giannis_An34,[  40   10 2021],Fear the deer 🦌 🥶 https://t.co/VntlECo2xC,325,2815,45274
Giannis_An34,[  40   10 2021],#NewProfilePic https://t.co/uThFjk7sgg,282,1419,36034
Giannis_An34,[  40   10 2021],Gracias 🙌🏾 @paugasol https://t.co/PL0x3iT5OE,73,1476,32650
Giannis_An34,[  40   10 2021],Told y’all👀🔨 https://t.co/IayjmoR5z2,35,134,4000
Giannis_An34,[  39   10 2021],Throw it up there he’ll go get it 🔥💪🏾 https://t.co/1tQ4owbdy3,60,157,5051
Giannis_An34,[  39    9 2021],Nobody recognises me!! 😂😂 https://t.co/WCeGwGqgf4,1701,4263,131725
Giannis_An34,[  39    9 2021],Going grocery shopping late at night might be the most relaxing thing ever lol,716,4376,78385
Giannis_An34,[  39    9 2021],🧪🧬🥶 https://t.co/1t2bH0lFo4,157,1165,29680
Giannis_An34,[  39    9 2021],Year 9 🙏🏽😃 https://t.co/5EuMaPYgHq,325,3147,58426
Giannis_An34,[  38    9 2021],😃🏀 https://t.co/HIgwah59gh,205,1332,31752
Giannis_An34,[  37    9 2021],Happy birthday my love 😍 may your dreams come true @mariahdanae15 https://t.co/2GOwxckzUi,371,1158,36383
Giannis_An34,[  37    9 2021],Im thinking about building one in my backyard 😂😂 https://t.co/RL2v42j65j,120,129,5598
Giannis_An34,[  37    9 2021],I just played paddle tennis 🎾 for the first time. You don’t want this smoke 💨🔥,489,1339,37564
Giannis_An34,[  37    9 2021],They ask me what I do and who I do it for. https://t.co/GKquUKDLPu,320,4458,67944
Giannis_An34,[  36    9 2021],He’s the reason that a lot of people pick up a basketball in Greece 🙏🏽🇬🇷🏆..!! I saw the fire in his eyes.. What a night🔥 Nick the Greek x Greek Freak x Elevator x Theo https://t.co/KxiPjyZfgY,234,2175,26038
Giannis_An34,[  35    9 2021],Taking it day by day. But I can’t wait 💪🏾🔥🇬🇷 https://t.co/I08HlPUAuM,125,370,6822
Giannis_An34,[  35    9 2021],You’re making me jealous 🤦🏽‍♂️😂 https://t.co/nXJfDBeHkT,81,182,6248
Giannis_An34,[  34    8 2021],Happy birthday 🐐🙏🏽 https://t.co/CnzSJDEYJo,421,11375,143150
Giannis_An34,[  34    8 2021],What’s up people😂😂?! https://t.co/mN3hA77z4D,2923,6813,176207
Giannis_An34,[  34    8 2021],This is going to be fun 🔥 @ChristianYelich https://t.co/zo6dw3lTwO,105,559,14893
Giannis_An34,[  33    8 2021],Now i just have to work on my swing!! 😂😂 #NewBeginnings⚾️ @Brewers https://t.co/pRIBv4Avf9,380,2774,48505
Giannis_An34,[  31    8 2021],"Ευχόμαστε να μην έχουμε θύματα από τη φωτιά. 

Εννοείται ότι ακυρώνουμε τη σημερινή γιορτή στα Σεπόλια🙏🏾🙏🏽 Θα ενημερώσουμε για νέα μέρα κ ώρα! 🤎",388,2093,23938
Giannis_An34,[  31    8 2021],Your big moment is as big as the people you share it with #neverdreamalone @Budweiser https://t.co/iLUlOY715y,177,670,7332
Giannis_An34,[  31    8 2021],Σας παρακαλώ ΟΛΟΙ με μάσκες!!! 🤎 https://t.co/S83xbeTasM,284,1215,11933
Giannis_An34,[  31    8 2021],Αύριο 8 το απόγευμα Σεπόλια!!,532,1816,22418
Giannis_An34,[  30    7 2021],Ερχόμαστε και φέρνουμε κ το κύπελλο!!! 🏆 @Thanasis_ante43,581,2206,28915
Giannis_An34,[  30    7 2021],If I got to pay nevermind… https://t.co/6A1xhuDitp,904,3720,49645
Giannis_An34,[  30    7 2021],What time is the USA team playing tonight and which channel?🙏🏽,1433,1490,59599
