user,date,content,replyCount,retweetCount,likeCount
Jsipple,[  40   10 2021],2021 Cornell Virtual Graduate School Fair - join us today 11-2pm (EST). Learn about our PhD program and chat with faculty and students. ⁦@CornellGlobal⁩  https://t.co/hWUOIDg5rb,0,1,5
Jsipple,[  37    9 2021],@SchlFinance101 Congrats Bruce. Just ordered.,0,0,1
Jsipple,[  34    8 2021],We need much more attention to resources and “quality” in early care and PreK. Just having a program is not good enough. Thx @KiraboJackson for sharing. https://t.co/GPRL5EsZ6j,0,1,3
Jsipple,[  33    8 2021],Thx @Shorna1 https://t.co/9eixiARdGv,0,0,1
Jsipple,[  33    8 2021],"Hope you are well Lance. Yes, lots of material! https://t.co/lL3VjcI24S",0,0,0
Jsipple,[  32    8 2021],Welcome and good luck! https://t.co/4BdzqDyoGc,0,0,0
Jsipple,[  29    7 2021],Thanks for all your good work. Good luck to you in Chicago. https://t.co/IVv4JIqJxQ,0,0,1
Jsipple,[  28    7 2021],I added Andrea too but got lost somehow! Thx Andrea! https://t.co/IbAYNfe6l4,0,0,3
Jsipple,[  28    7 2021],So very well deserved!!  Congrats!! https://t.co/18Bo64Vf78,0,1,5
Jsipple,[  28    7 2021],Whoops.  Andrea too!!! https://t.co/IbAYNfe6l4,0,0,1
Jsipple,[  28    7 2021],"Huge thanks to Dave, Gretchen, Perry and his team for preparing such an interesting @NYRuralSchools conference. Great to see so many quality educators in one place.",0,4,16
Jsipple,[  28    7 2021],Honoring Mike Rebel @NYRuralSchools conference. Thanks Mike for your extraordinary efforts. #CFE,0,1,10
Jsipple,[  25    6 2021],This will sound familiar to many practicing educators. A dangerous push is being made to squelch good teaching. https://t.co/DAunXihut7,1,2,4
Jsipple,[  23    6 2021],Congrats Howard!  So well deserved!! https://t.co/58pUC8pWcA,0,0,0
Jsipple,[  23    6 2021],Congrats Anna!!!! https://t.co/JiQgWWcAZ1,1,0,2
Jsipple,[  16    4 2021],Looking forward to this… Thx @agamoran https://t.co/NHlz09wCsV,0,0,1
Jsipple,[  14    4 2021],I am just about to start this process. You have motivated me. https://t.co/qS67pJC6lu,0,0,3
Jsipple,[  13    3 2021],"Congratulations Sheneka! @VandyGrad07  Thanks for your continued leadership, scholarship and service. https://t.co/0L0xTaAWA2",0,0,1
Jsipple,[  12    3 2021],Family and community connectivity so important. https://t.co/rjbBl1dPkC,0,1,5
Jsipple,[  12    3 2021],An important bit of history here. https://t.co/HqmSqBC5bO,0,0,2
Jsipple,[  12    3 2021],@CaseyJ_edu Let me check to see if anything new with teacher data is available. Last I looked not available by sex and race in NY.,0,0,1
Jsipple,[  11    3 2021],@AmyDCronin @NCAA Needn’t be a fantasy…  shouldn’t be a dream. Should just be the way it is.  Much work to do @ncaa.,1,0,0
Jsipple,[  10    3 2021],A pleasure to work closely with @CornellSports https://t.co/W7S6mE6aXG,0,1,2
Jsipple,[  10    3 2021],An important study for which we should pay attention. https://t.co/9u2AMzmhnW,0,2,4
Jsipple,[   9    3 2021],Great work Peter! https://t.co/V3kcLwfKX5,0,0,2
Jsipple,[   7    2 2021],Big news! Congrats Sahara! https://t.co/oa3CJErUjj,0,0,1
Jsipple,[   6    2 2021],Congratulations Neil! https://t.co/L0Mvl2HJBK,1,2,5
Jsipple,[   5    2 2021],Free and available https://t.co/5VWmBkCj5w https://t.co/eWXcSWRjLT,0,1,1
Jsipple,[   5    2 2021],Thanks Brian.  Creating a safe place to examine best- and worst-case scenarios (along with a likely scenario) can be useful to know your options in this incredible time of uncertainty.  Let’s stay in touch in building out the PILOT agreement data. https://t.co/eWXcSWRjLT,0,0,1
Jsipple,[   5    2 2021],"A bright spot in a winter of isolation and sorrow for so many. My son, @tsipple9 , is part of a little 5-person startup that just won this! https://t.co/YKmyjpGQRh",0,0,1
Jsipple,[   5    2 2021],Congrats @JennyElaineG ! https://t.co/N3MStz3n9S,0,0,4
Jsipple,[   5    2 2021],"Great work Sheneka and colleagues.  I too, co-authored with two grad students. Mentoring and opportunity is so important. https://t.co/JObe3cngqj",0,0,0
Jsipple,[   5    2 2021],What tremendous leadership by the editors!  Happy to be a part of this volume. https://t.co/GgxOkB2uoS,0,1,2
Jsipple,[   4    1 2021],"@SchlFinance101 So Bruce, what can I do? Should I ignore the resource alltogether now? Should I use it with attribution to you? Should I write the ELC to object?",0,0,0
Jsipple,[   1    1 2021],The contortions many go through to justify current action. https://t.co/1Bl4n5C0wn,1,0,3
Jsipple,[   1    1 2021],Thanks Casey!  https://t.co/tN7TMHItcA https://t.co/eEgYjsMNGD,0,1,1
Jsipple,[  53   12 2020],@c_ostrander I am so very sorry Carolyn. Very hard.  Be well.,0,0,1
Jsipple,[  50   12 2020],Congrats Mr. Mayor! https://t.co/S2ncBW6KAz,0,0,1
Jsipple,[  50   12 2020],A federal grant funded initiative to link schools with community supports. Great work. https://t.co/NO25oorG5d,0,1,1
Jsipple,[  48   11 2020],Happy Thanksgiving Dr. Wortham! https://t.co/fflbZlniRp,0,0,1
Jsipple,[  47   11 2020],Yup! https://t.co/cTt9gER1pj,0,0,1
Jsipple,[  47   11 2020],Congrats Josh and North Carolina! https://t.co/cN9NB6b2zt,0,0,1
Jsipple,[  46   11 2020],"Sorry, congrats and thanks!! https://t.co/tiE8REsuGs",0,0,1
Jsipple,[  46   11 2020],A hearty Congratulations Anna!!! Well deserved and earned. https://t.co/z1kDHipNwe,0,0,1
Jsipple,[  46   11 2020],Still waiting... https://t.co/nPkLQNq7OX,0,0,0
Jsipple,[  45   11 2020],@WeedenKim Priorities...,0,0,1
Jsipple,[  45   11 2020],@catbiddle Congratulations Cat!,0,0,0
Jsipple,[  41   10 2020],"@SvanteMyrick Be well, be safe.",0,0,0
Jsipple,[  40    9 2020],You lasted 15 minutes longer than me.  A bad night for our country. https://t.co/tqaVIanLmL,0,0,2
Jsipple,[  40    9 2020],Simply unwatchable.  The president is acting like an 8 year old.,0,0,1
Jsipple,[  35    8 2020],If other districts are interested please reach out. https://t.co/5YPjgu61w4,0,0,0
Jsipple,[  35    8 2020],What a nice and useful resource! https://t.co/eiUQH71xQk,0,2,5
Jsipple,[  35    8 2020],@CornellCIPA @NYRuralSchools https://t.co/SqafXU1Uli,0,0,2
Jsipple,[  34    8 2020],Congrats Dr. Huber!   Thanks for your service Nick Savin. https://t.co/aLIVl0Ko4H,0,2,3
Jsipple,[  31    8 2020],Thanks Erica for pulling this together!  A real and timely set of challenges and opportunities. https://t.co/jbY7MYL6Sy,0,0,1
Jsipple,[  31    7 2020],Thx for sharing Steve. https://t.co/zIh8OQK0NR,0,0,0
Jsipple,[  31    7 2020],Text Survey | Rural School Association of NY.   Calling any and all professionals working in NY’s rural schools to sign up to answer one question via text/week. Immediately see results. Help share rural practices/views.  https://t.co/g1rSC46WCh,0,0,0
Jsipple,[  29    7 2020],Wow. Big news. Congratulations Sheneka and MSU!! https://t.co/wye5kCrTYS,0,0,1
Jsipple,[  28    7 2020],Good luck Michelle. Congrats!! https://t.co/b7tZ4eZtSV,0,0,0
Jsipple,[  28    7 2020],Congrats Peter! https://t.co/IiysibDg6r,0,0,0
Jsipple,[  27    7 2020],Congrats and good luck! https://t.co/FDSKzph0R8,0,0,2
Jsipple,[  27    6 2020],Great to see this work proceeding during this time of COVID-19. https://t.co/qPdJfKDMBT,1,2,6
Jsipple,[  25    6 2020],Huge loss!  Huge gain for ND. https://t.co/SBqvOIRAdQ,0,0,0
Jsipple,[  25    6 2020],Wow!  Congratulations Steve and Anna. I’ll admit I’m very sad and surprised but wish you the very best. Congratulations to Norte Dame  I Hope we can stay in touch. https://t.co/sZadwNvLY6,0,0,1
Jsipple,[  25    6 2020],"Oh my. So happy for you and Steve and so sad for me, my colleagues and most importantly our students. Congratulations Norte Dame. https://t.co/k9lM0Xy2fN",0,0,1
Jsipple,[  25    6 2020],@KellyMasline @CapRegionBOCES @anitamurphy1965 @LaurenGemmill Congrats Kelly!  Big win for @CapRegionBOCES,1,0,1
Jsipple,[  25    6 2020],Great work N’Dri. Good luck! https://t.co/lYSwLiERfM,0,0,0
Jsipple,[  24    6 2020],@AnnaRHaskins So very sorry about this.  You are fabulous and we are so lucky to have you here @Cornell .,0,0,1
