user,date,content,replyCount,retweetCount,likeCount
KDTrey5,[  43   10 2021],#Swagger is finally here...Stream the first 3 episodes now on @appletv https://t.co/Vf0YSKvagE https://t.co/ilSWb5fJUr,86,330,2677
KDTrey5,[  43   10 2021],Season 2 🤲🏾 thanks for coming on @IssaRae https://t.co/AcV9ENAtsG,95,213,2148
KDTrey5,[  43   10 2021],Get a chance to see #Swagger early with an advance virtual screening tomorrow 6PM PT/9PM ET https://t.co/myrcgAYcMk https://t.co/b6LuuHGIuy,96,124,1439
KDTrey5,[  42   10 2021],This shit hit every time https://t.co/pqQT2IN0Pc,177,1075,8054
KDTrey5,[  42   10 2021],This is your king???? Bet https://t.co/erblCGU1Qq,464,690,10024
KDTrey5,[  42   10 2021],I disagree https://t.co/PGDTpokv6L,273,522,9877
KDTrey5,[  42   10 2021],@DragonflyJonez Cuz u a casual,399,1208,11194
KDTrey5,[  42   10 2021],"Lil one came through, big ole fye, look like flamethrower",233,306,5376
KDTrey5,[  41   10 2021],"I came with the snakes, no squid 
I broke out the game with a 456",659,3013,38864
KDTrey5,[  41   10 2021],Fire https://t.co/b4pIcYdHIz,177,1469,24383
KDTrey5,[  41   10 2021],"Season bouta start, I see shitty hoop takes everywhere",2068,12014,111757
KDTrey5,[  41   10 2021],#Swagger out Oct 29th on Apple TV+ https://t.co/Vf0YSKML8c https://t.co/aaAPlGN5aW,127,513,2956
KDTrey5,[  41   10 2021],More to come… @boardroom @dapperlabs @roham https://t.co/cPm38zat9n https://t.co/Cm8IYUaKEe,162,261,2203
KDTrey5,[  41   10 2021],"Playing with me? I pay em a fee and they walkin on all of these lames.
VVs all in my chain.
TVs all in the sprinter, I’m playin the game.",457,674,11514
KDTrey5,[  40   10 2021],Loved being a part of this #NBA75 @NBA https://t.co/gnPQyu2hxY,416,6091,41053
KDTrey5,[  40   10 2021],50 of em https://t.co/Ow7k4T4NwT,238,511,10271
KDTrey5,[  40   10 2021],Ok. I see u 89,454,1085,19406
KDTrey5,[  39    9 2021],“Been doin this since TPain was pouring us nuvo…” https://t.co/nt93l6ic9Q,257,1423,14612
KDTrey5,[  38    9 2021],Elite activity. Salute god https://t.co/3B3qkAjLRo,217,2987,33952
KDTrey5,[  36    9 2021],https://t.co/ViPuswu1sD,384,928,16149
KDTrey5,[  36    9 2021],Thissa missle https://t.co/WPQfLv9mnE,109,165,2279
KDTrey5,[  36    9 2021],#Swagger officially premieres on Oct 29th on Apple TV+ - my and @richkleiman’s vision finally comes to life with an incredible cast. Trailer coming soon... https://t.co/tUXaihf1rq,99,263,2537
KDTrey5,[  36    9 2021],"It’s #2KDay! The first person to redeem this code will receive 1,000,000 in virtual currency to get you started with #NBA2K22 today 🔥 #ad Void where prohibited. https://t.co/NCZXx6Ev3X",248,268,5487
KDTrey5,[  36    9 2021],https://t.co/TLE9iYdGUI https://t.co/f8udTYMqp6,508,6358,51540
KDTrey5,[  36    9 2021],Needed this 🙏🏾 https://t.co/Pdc1netv2D,518,10161,110429
KDTrey5,[  35    9 2021],https://t.co/BPHmWq3uv5,329,4454,22129
KDTrey5,[  35    9 2021],6️⃣,718,4233,44878
KDTrey5,[  35    9 2021],https://t.co/e9pcOJYigi,361,4011,33875
KDTrey5,[  35    9 2021],Thanks for the setup @andbox_official @Subliners 🤙🏾 https://t.co/bnyo9iVNfR,157,196,4271
KDTrey5,[  35    9 2021],"As sure as the DOJ confirmed Ezekiels wheel
I could change the world like Yakub with 2 pieces of steel",325,751,7677
KDTrey5,[  34    8 2021],Locked in https://t.co/Q305jjPmTP,256,447,12172
KDTrey5,[  34    8 2021],Toe jam that first shot @KlayThompson https://t.co/i3S8obuyRA,337,1342,24627
KDTrey5,[  33    8 2021],👐🏾 @weedmaps @boardroom @35Ventures @richkleiman https://t.co/A2hr6aWcth,151,140,1438
KDTrey5,[  33    8 2021],"With so much opportunity for growth of cannabis in the sports world, I’m looking forward to partnering with @weedmaps. More soon.. @boardroom @35ventures https://t.co/I4NeTvy3nn",238,531,4774
KDTrey5,[  32    8 2021],🤘🏾 https://t.co/pSOqILRDxW,209,160,4919
KDTrey5,[  31    8 2021],Never swallow slanderous lies for the devils satisfaction,1288,5091,39588
KDTrey5,[  30    8 2021],@malwrench Ignore me,120,125,3410
KDTrey5,[  30    8 2021],"@1stGetMoney215 I follow cuffs fam. U good though, u didn’t know",68,57,1067
KDTrey5,[  30    8 2021],@CuffsTheLegend Scared of what cuffs?,327,883,8536
KDTrey5,[  30    7 2021],"What am I supposed to do outside but get rich?
Work too hard but boy don’t floss too hard and get your wig split",1268,4734,51999
KDTrey5,[  30    7 2021],“Kyrie needs a better team around him” https://t.co/g4Ww1d9MjC https://t.co/xPiVdOUYOy,3465,39178,289094
KDTrey5,[  29    7 2021],@Giancarlo12G Y’all just weirdly obsessed with what my motives and desires are.,246,509,9022
KDTrey5,[  29    7 2021],https://t.co/4bbDHOOvHt,922,5400,75993
KDTrey5,[  29    7 2021],Dog seen me knock down the corner three and proceeds to work on his ball handling with the ball I green bean’d wit. Bro gotta learn some respect @Bam1of1 https://t.co/OX4YeJLa5k,2095,10015,101692
KDTrey5,[  29    7 2021],"Nothing but respect for the Milwaukee Bucks franchise, the city of Milwaukee  and those loud ass fans. Incredible playoff run fellas!",2850,22959,282664
KDTrey5,[  29    7 2021],Sending good vibrations to the sky for our brother… https://t.co/lc3UKqGZAl,265,822,19862
KDTrey5,[  28    7 2021],@urkle9 Let me speak,229,519,7022
KDTrey5,[  28    7 2021],@Blvckedout Ethan Strauss really got in your head about this. Before he wrote this book could u tell that I cared about which warrior was loved the most?,126,79,1024
KDTrey5,[  28    7 2021],@ahmedadelradio U care too much,119,58,1163
KDTrey5,[  28    7 2021],@OnBallSteph Who are these quotes from?,118,48,1139
KDTrey5,[  28    7 2021],@PharohWoods @SideActionHQ @Nate_moseby I guess I’m not good at basketball anymore lmao,198,568,5478
KDTrey5,[  28    7 2021],@Blvckedout That’s what u get from that quote?,55,35,941
KDTrey5,[  28    7 2021],@SideActionHQ @Nate_moseby About what?,64,26,729
KDTrey5,[  28    7 2021],@Nate_moseby @_mtm_81 Idk maybe cause he’s a grown man with his own brain and made his own assumptions.,53,100,1894
KDTrey5,[  28    7 2021],@GaryFromTheBay if the shoe fits.,83,49,1018
KDTrey5,[  28    7 2021],@Nate_moseby It’s hilarious that people think I cared about who gets cheered the loudest…where is all this even coming from?,61,92,1323
KDTrey5,[  28    7 2021],@RossJ_510 What was Andy’s point?,91,54,1137
KDTrey5,[  28    7 2021],@_mtm_81 Definitely weird. They wanna believe I was jealous of my teammates which beyond laughable,197,385,4931
KDTrey5,[  28    7 2021],@AndyKHLiu U made this up fam…like outta thin air,274,705,9506
KDTrey5,[  28    7 2021],New @boardroom story on how this cover came together https://t.co/8nF2ntFjtG https://t.co/zOG1AU640b,84,107,1305
KDTrey5,[  28    7 2021],Honored to share @NBA2K's 75th anniversary cover with the greats 🙏🏾 @kaj33 @swish41 https://t.co/oN8D91VBoj,1225,6702,72572
KDTrey5,[  27    7 2021],"It’s him again, with the tint skin tone, preaching brimstone.
Until the man of sin get everything that was meant for him.",417,407,7174
KDTrey5,[  27    7 2021],"Please no sparklers baby, ima legend",887,2282,29191
KDTrey5,[  27    7 2021],"Say that then, maybach Benz wit me in the back
When I was in accura, I still couldn’t clean up my act",530,932,14322
KDTrey5,[  27    7 2021],@earlxsweat https://t.co/7N4UNT8p82,25,71,3061
KDTrey5,[  27    7 2021],https://t.co/pGlMxz584D,635,6855,50368
KDTrey5,[  27    7 2021],Talk about it https://t.co/1A8JDfh1Xt,248,1899,27861
KDTrey5,[  27    7 2021],@WilshereTouch Just tune me out Bro. Why does it matter what I do???,72,52,908
KDTrey5,[  27    7 2021],"@naslabumwhen I don’t see a problem with me interacting with basketball fans, it should be encouraged…steve should’ve also said that I’m never late and I work through every rep in practice with game speed. That should be more interesting than what I do on Twitter.",228,723,4991
KDTrey5,[  27    7 2021],@drayclusive_ One word,74,75,1530
KDTrey5,[  26    7 2021],@LenaBlietz So u wish I was ignorant?,93,214,2674
KDTrey5,[  26    7 2021],@TigerIsAGOAT It’s mans out here still offended…let it go,265,742,11384
KDTrey5,[  26    7 2021],@ckundich This shit a holiday now???,783,2818,34660
KDTrey5,[  26    7 2021],@darwin_atticus @TheLostOgle Awwwwwwwwwwwwwww u ok now?,76,248,2801
KDTrey5,[  26    7 2021],@hardenbbq Fire,101,97,5253
KDTrey5,[  26    6 2021],Insane https://t.co/B8LQpmZl5e,1565,15070,143870
KDTrey5,[  26    6 2021],This was funny https://t.co/uVRYpMPXPr,513,1420,14890
KDTrey5,[  26    6 2021],@waldorfsfinest U mean the Canadian Dillon brooks?,150,768,12829
KDTrey5,[  25    6 2021],@gios_worldd Get up every morning lol,50,79,1489
KDTrey5,[  25    6 2021],"Respect to Barrios**

Tank Davis has mastered this shit",409,3491,32077
KDTrey5,[  25    6 2021],@Travonne He sellin these?,25,10,382
KDTrey5,[  25    6 2021],@Travonne So fire,105,128,6353
KDTrey5,[  25    6 2021],@ReidLaymance Congrats my g. Enjoy that,405,3140,35518
KDTrey5,[  25    6 2021],"Once again, I don’t even talk like this…plus I don’t have a relationship with Jackie for us to have in depth conversations about my intentions as a basketball player. I get she plays an opinion based sport but she framed this like we are friends. We are not.. https://t.co/0D2GszSwhA",2751,9076,85101
KDTrey5,[  25    6 2021],@bansky This was funny,91,54,2574
KDTrey5,[  25    6 2021],"@OnlyFacts1234 @mrteabagzzzz @ScottiePippen This guy Scott also wanted to enjoy his summer so he chose to rehab during the season lol yo @ScottiePippen THEY FOLLOWED PHIL, NOT YOU!!!",858,2713,14123
KDTrey5,[  25    6 2021],@mrteabagzzzz Didn’t the great Scottie pippen refuse to go in the game for the last second shot because he was in his feelings his coach drew up the play for a better shooter??,2479,13980,91472
KDTrey5,[  25    6 2021],https://t.co/XkoqY0lTR7,431,1826,15175
KDTrey5,[  25    6 2021],Imagine TOURE knowing what’s best for professional basketball https://t.co/nfLpEFBet8,1498,8956,73650
KDTrey5,[  23    6 2021],"Mans will do anything to advance their careers in this media shit, wanting to be accepted by an industry that will dispose of you whenever they please. Keep me out all that corny ass talk about whos better and legacy and all that dumb ass shit. I don’t even talk like that",3615,12788,104094
KDTrey5,[  22    6 2021],@jmilly2410 U stealing tweets,36,91,1679
KDTrey5,[  22    6 2021],This a spiritual experience.,1015,14364,104595
KDTrey5,[  22    6 2021],God mode.,398,6902,53378
KDTrey5,[  22    6 2021],"I had like 4 tweets I wanted to write to describe this MASTERPIECE by Damian Lamonte Ollie Lillard Sr, but I am seriously at a loss for words...",1265,24948,178520
KDTrey5,[  21    5 2021],@B2TR1LL This is an emotional response Bryan,26,68,1474
KDTrey5,[  21    5 2021],It’s all fun and games until ya ass banned for life.,1965,16588,156788
KDTrey5,[  21    5 2021],Half spin had bean drunk at the bar...then that tween go had mac stuck in mud seconds later. Haha God is funny https://t.co/MphcBeNG3t,470,6073,52511
KDTrey5,[  20    5 2021],@PR_Starr_ I honestly didn’t realize that...,12,9,285
KDTrey5,[  20    5 2021],50/40/90 for the God...@KyrieIrving,808,4389,51373
KDTrey5,[  19    5 2021],"https://t.co/zHc2ICaHXm

Server up, come vibe with me but not today, I have a basketball game to play later on",267,230,3210
KDTrey5,[  19    5 2021],@bansky Catch up man. U doing a lot of podcasting and tweetin. Lock in,35,27,874
KDTrey5,[  19    5 2021],"@TheNatural_05 Different breed. Trading for him now in the show, trea turner might have to dip lol",76,481,3677
