user,date,content,replyCount,retweetCount,likeCount
KingJames,[  43   10 2021],Game day is always electrifying! @GMC Let’s get it!! ⚡️💪🏾👑 #GMCAmbassador #GMCHummerEV https://t.co/8zAFJI3aQT,182,294,3263
KingJames,[  43   10 2021],My goodness Young Bull! 😤😤😤. With the left too,873,1703,32580
KingJames,[  43   10 2021],This can’t be real right??!! I hope not 🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣 https://t.co/IGbqEvFGud,2708,10637,143239
KingJames,[  43   10 2021],That’s so 🔥🔥🔥🔥🔥🔥🔥🔥🔥 https://t.co/adtVEzRhDK,172,181,3865
KingJames,[  43   10 2021],"Man my G @imanshumpert in his f’n 💼!!!!!! LFG 🗣🗣🗣🗣🗣. Don’t even try to front, just respect the conglomerate! 🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥 https://t.co/8SzL2th79q",326,2654,34720
KingJames,[  43   10 2021],CLEVELAND 🗣🗣🗣 This is for YOU! 😉🙏🏾❤️👑 https://t.co/XEc8qhCoNX,1086,8765,111308
KingJames,[  43   10 2021],#StayMelo @carmeloanthony 🙌🏾🙌🏾🙌🏾🙌🏾,367,4738,55943
KingJames,[  42   10 2021],Happy National TE’s Day!!!! Salute to you all. 😎,295,689,14247
KingJames,[  42   10 2021],Happy Born-Day my brother!!! Love 🦉 https://t.co/gdR1tSwkcj,709,6788,115583
KingJames,[  42   10 2021],D’ Ernest Johnson on 1 tonight!! Love to see it! #Browns,405,1804,27909
KingJames,[  42   10 2021],Damnit Landry! 🙏🏾,223,444,19216
KingJames,[  42   10 2021],@StephenCurry30 You’re SICK Man!!!!! 🤣🤣🤣🤣🤣🤣🤣,491,7280,41806
KingJames,[  42   10 2021],From where I come from I’m simply LOST FOR WORDS!! BEYOND HONORED &amp; BLESSED!! 🙏🏾 #ThekidfromAKRON🤴🏾⁶ #StriveforGreatness🚀 #NBA75💎 https://t.co/0eu6JAhY3a,885,5925,69306
KingJames,[  42   10 2021],This game is wild!! The garden rocking! No way anybody gone be able to get out the bed tomorrow though! Lol. Burnt 🥵 toast,777,3995,68869
KingJames,[  42   10 2021],🙏🏾✊🏾❤️👑 https://t.co/FNvblfMtgZ,352,2029,39369
KingJames,[  42   10 2021],Greatness lies on the other side of sleep. 😴💪🏾 🚀 @calm gets my mind right for the season and helps my 💤 increase to put my 🧠 at peace. 🙏🏾 LET’S GO! https://t.co/ldO0x0vFJJ,230,556,6011
KingJames,[  41   10 2021],What he said! Yessir! https://t.co/GWfOjwwije,207,728,13691
KingJames,[  41   10 2021],🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣 https://t.co/kdhzR2mL9l,234,2041,31409
KingJames,[  41   10 2021],"Huge thank you to my new @TheSpringHillCo partners RedBird, @FenwaySports, @Nike, and @EpicGames.  We are on a mission to empower and with this group...Imagine how many lives we can change!!! 🙏🏾✊🏾👑",136,297,4861
KingJames,[  41   10 2021],The diversity and empowerment of our team is what we’re all about!! I love every 141 souls of creators we have in 🏡 at @TheSpringHillCo! I beyond proud to lead you guys everyday. Oh by the way @mavcarter you’re simply INCREDIBLE!! A BEAST. CEO 1 https://t.co/y2cIrK45il,117,293,2756
KingJames,[  41   10 2021],"Working hard AND smarter with my @tonal!! Strength isn’t given, it’s earned. 💪🏾 We’re taking it to another level. Let’s go to work!! 🚀👑 #BeYourStrongest #TonalPartner https://t.co/LV2F6vb1qn",289,644,8641
KingJames,[  41   10 2021],🙏🏾❤️❤️❤️❤️❤️❤️ https://t.co/eUDXiA7CWE,177,741,12946
KingJames,[  41   10 2021],Yessir!! Make sure y’all check it out dropping this Friday! 🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥 https://t.co/CZguopJDcL,199,749,13133
KingJames,[  41   10 2021],That’s all I know! 👑 https://t.co/iBJI8N4awh,503,4612,58230
KingJames,[  41   10 2021],HOW AMAZING IS THIS MAN!!! DAMN IM BEYOND PROUD OF MY BROTHER! https://t.co/i4Vsi8Pskk,519,3391,62293
KingJames,[  40   10 2021],Wow is CORRECT! Flat out STRIKE https://t.co/SFH9g6zmZN,234,1132,18591
KingJames,[  40   10 2021],HELLUVA FIGHT!!! CLASSIC #FuryWilder3 🥊,416,3770,44287
KingJames,[  40   10 2021],Yessir!!!! My brother let’s work! 🏌🏾@TheRealJRSmith https://t.co/qImIydLF8i,150,301,6097
KingJames,[  40   10 2021],👋🏾👑. Welcome to the Greatest Neighborhood in the World!!! #NBA75 https://t.co/TNiaNAM36V,370,3441,33497
KingJames,[  40   10 2021],🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥 https://t.co/1sfX9ZmG91,179,195,4228
KingJames,[  40   10 2021],It might be a Monday but it’s #NationalTacoDay 🌮!!! So you already know! Ayeyeyeyeyeye 🗣🗣🗣🗣,750,3132,40308
KingJames,[  40   10 2021],Gotta keep DT RIGHT!! It’s a MUST! https://t.co/u21iZ3Sxiy,210,737,15244
KingJames,[  40   10 2021],😁 QB1 is a BEAST!!!!! 🙏🏾✊🏾👑 https://t.co/j2t2U3UYxw,407,4396,35810
KingJames,[  40   10 2021],That was wack! 🤦🏾‍♂️,573,756,22988
KingJames,[  39   10 2021],YES HE IS!! https://t.co/FZbKa3VDv7,1197,16010,146424
