user,date,content,replyCount,retweetCount,likeCount
Matt_LeBlanc,[   5    1 2020],Season 4 premiere of #manwithaplan April 2nd at 8:30 pm/7:30pm central. See you then. https://t.co/dcqv3QmY53,392,288,6048
Matt_LeBlanc,[  48   11 2018],We’re back. Season 3 premiere. Monday February 4th 8:30 pm/7:30 central. @ManWithAPlan @CBS #ManWithAPlan #CBS https://t.co/XWtTrR5uzR,531,445,8524
Matt_LeBlanc,[  39    9 2018],@harrismonkey @singervehicles Ok. I am officially jealous Mr. Harris. You’re a hero.,26,16,586
Matt_LeBlanc,[  22    5 2018],@MrRoryReid Thanks bro. It was a blast doing it together. I’ll miss it for sure.,19,6,424
Matt_LeBlanc,[  22    5 2018],@harrismonkey Thanks bro. I’ve had an absolute blast with you. I’ll miss it.,73,21,889
Matt_LeBlanc,[  19    5 2018],Tonight is the final episode of the whole series. Sad to see it end. Hope you all enjoy it. We did. Thanks for watching. https://t.co/qNMprySEQ8,372,204,4795
Matt_LeBlanc,[  19    5 2018],All new Man with a plan tonight at 8:30/7:30 central. If you like it please follow @ManWithAPlan https://t.co/FuQ9r8c4N0,120,120,2983
Matt_LeBlanc,[  18    5 2018],@harrismonkey Mung is never good. Not even in small doses.,13,8,299
Matt_LeBlanc,[  14    4 2018],Episode 2 of season 5 of Episodes airs tonight onBBC2. #episodes https://t.co/dZFMQai9al,102,110,2700
Matt_LeBlanc,[  13    3 2018],Tonight’s the night. https://t.co/dFQUBk3wrZ,63,84,1741
Matt_LeBlanc,[  13    3 2018],Season 5 this Friday. Check it out. https://t.co/whexaDlHgM,56,97,1690
Matt_LeBlanc,[  12    3 2018],What a machine. https://t.co/WVT5Yb55Xh,57,65,1091
Matt_LeBlanc,[  12    3 2018],It’s next Friday. The 30th. https://t.co/XCw57Cnc0r,39,59,993
Matt_LeBlanc,[  12    3 2018],Finally!!! We’re back on in the UK. Check it out. https://t.co/kqMLTgFAiO,112,167,2745
Matt_LeBlanc,[  11    3 2018],"Man with a Plan tonight at 8:30/7:30 central. Not the bloopers , the show. Check it out. https://t.co/FToW3ezb6R",74,134,1745
Matt_LeBlanc,[   8    2 2018],We’re back. Topgear returns tonight at 8:00 pm on BBC2. Check it out.  #TopGear  #BBC https://t.co/c5zu4UzUcn,298,519,5493
Matt_LeBlanc,[   3    1 2018],@harrismonkey It was superb.,19,10,267
Matt_LeBlanc,[   2    1 2018],Sri Lanka is stunning https://t.co/gBFg1Xg8zz,426,1472,12298
Matt_LeBlanc,[   1    1 2018],@RGrosjean @marionjolles Congrats buddy and Happy New Year.,15,12,300
Matt_LeBlanc,[  47   11 2017],Serious funny business. Check out Man With A Plan tonight at 8:30 on CBS. #manwithaplan #cbs https://t.co/k3VBV3YkJt,55,90,1414
Matt_LeBlanc,[  46   11 2017],Season 2 premiers tonight at 8:30/7:30 central on CBS #ManWithAPlan #CBS https://t.co/xnt0R6Dlxa,174,203,2854
Matt_LeBlanc,[  45   11 2017],Check it out https://t.co/QyRuFscmMs,54,123,1449
Matt_LeBlanc,[  44   11 2017],Man with a Plan is back for season 2. Monday November 13 at 8:30 on CBS #manwithaplan #cbs https://t.co/C9Pptjm5C9,94,155,2118
Matt_LeBlanc,[  43   10 2017],@StevenCooley96 @BBC_TopGear Fuel issues.,3,4,35
Matt_LeBlanc,[  43   10 2017],Comfort Racing TopGear Style #Topgear #Bentley #Silverstone https://t.co/YQnaaD9ke0,119,248,3665
Matt_LeBlanc,[  41   10 2017],#episodes has come to a close. Thank you to all involved. Especially @JeffreyKlarik and @davidcrane for the incredible experience. I miss it,181,116,1937
Matt_LeBlanc,[  39   10 2017],They're so funny. #episodes on # showtime tonight at 10:00 https://t.co/umEue7iGSW,66,88,1434
Matt_LeBlanc,[  39    9 2017],Huh?Come on. #episodes is on tonight at 10:00pm on #showtime https://t.co/jABNL3FYoG,94,101,1918
Matt_LeBlanc,[  37    9 2017],#Episodes is on tonight at 10:00pm on #Showtime. Check it out. https://t.co/D7lbEfTdt3,112,128,1901
Matt_LeBlanc,[  34    8 2017],#showtime #episodes https://t.co/ooSP6uk4yq,51,64,1044
Matt_LeBlanc,[  34    8 2017],Don't miss episode 2 of the final season of Episodes this Sunday. https://t.co/vXZaARpj6g,137,169,2444
Matt_LeBlanc,[  34    8 2017],Well that's nice. Thank you very much. https://t.co/zIP52kYtUQ,48,82,1251
Matt_LeBlanc,[  34    8 2017],See you there. 👍🏻 https://t.co/xxbvKYd5Eg,50,92,1234
Matt_LeBlanc,[  33    8 2017],Don’t miss the #EpisodesPremiere tonight at 10PM ET/PT on @showtime. Show creator @jeffreyklarik will be live tweeting with the East Coast.,31,71,699
Matt_LeBlanc,[  32    8 2017],I'm on Jimmy Kimmel tonight. Check it out. And check out season 5 of Episodes on August 20th. https://t.co/MNpiqoaDbV,136,232,3414
Matt_LeBlanc,[  26    6 2017],@harrismonkey Yes he does. Very much.,20,25,653
Matt_LeBlanc,[  21    5 2017],You will be missed Nicky. My deepest condolences to the Hayden family. @NickyHayden,46,293,2617
