user,date,content,replyCount,retweetCount,likeCount
StephenCurry30,[  43   10 2021],"@davidortiz @FTX_Official @TomBrady Welcome to the FTX fam, Papi 🙌🏽 #RedSox",12,21,235
StephenCurry30,[  43   10 2021],Another ☝🏽 from #UnanimousMedia coming just in time for the holiday season 🎁🎄 12 Days of Christmas will hit ya in the feels with a fun take on dad life and parenthood..Can't wait for y'all to see this one! @AmazonStudios 🎥 https://t.co/iG8ag2GhIx,108,153,2341
StephenCurry30,[  42   10 2021],"@ftx_app After last night, maybe I should stick to my day job 🗑😂",24,13,178
StephenCurry30,[  42   10 2021],Lock in! #DubNation,1080,5460,44703
StephenCurry30,[  42   10 2021],Best time of year. #dubnation back under the bright lights. Let’s goooo! https://t.co/yvJ0SoFQNv,385,3092,19564
StephenCurry30,[  42   10 2021],"@miya2tall @TeamCurry @SheIsCoachAsh @CoachKevinHolt Thanks for reppin, Amiya!!",6,3,47
StephenCurry30,[  42   10 2021],@CoachJonesMPB @TeamCurry Love it Coach 🙌🏽,1,2,22
StephenCurry30,[  42   10 2021],"Beautiful day in the neighborhood for Harlem... so dope to watch @TeamCurry do their thing against the NY Elite and @sesamestreet held it down with the block party. S/o to all the young hoopers doing GOOD, I see y’all! 🔥🙌🏽 #currybrand https://t.co/1fJVkWtNvi",53,158,2961
StephenCurry30,[  41   10 2021],🙌🏽 congrats @Candace_Parker and the @chicagosky that was fun to watch!!! https://t.co/QRxYZl9aEz,133,1808,26969
StephenCurry30,[  41   10 2021],Family taking care of family 🙌🏽 @TeamCurry taking over The Big Apple in some freshhhh #CurryBrand. Show em how Charlotte does it y’all! https://t.co/c6UXoIVW68,71,190,3981
StephenCurry30,[  41   10 2021],Changing the game for GOOD...one neighborhood at a time. #CurryBrand https://t.co/LGOX3n0GVY,108,640,6027
StephenCurry30,[  41   10 2021],"One year already?! My journey w/ @literati feels like it's just getting started 📚

What books should we read next? 👀👇🏽 #stayunderrated",119,117,3117
StephenCurry30,[  41   10 2021],Incredible story of struggle to success...Keep inspiring bro! @Logic301 @literati #stayunderrated https://t.co/IQwxmQtl85,71,143,1931
StephenCurry30,[  40   10 2021],"You know #CurryBrand had to hit the world famous RUCKER PARK 🗽🙌🏽 Special moment for the new Greg Marius Court w/ @TheNBPA this weekend. You ready for next weekend tho, @sesamestreet @TeamCurry? 👀 It’s your turn in the neighborhood next! https://t.co/1ySr1h8Vy4",83,165,2365
StephenCurry30,[  40   10 2021],Medal that Man! 🥇🥇 https://t.co/2wF8AN34Wq,108,685,14507
StephenCurry30,[  40   10 2021],Lock in! #dubnation,356,1598,21380
StephenCurry30,[  40   10 2021],"Tell em @ariivory. Nothing but respect for the @WNBA fam and the W community, always leading the convo on how we can be more equitable and showing our daughters the power of women 💪🏽 #WNBATwitter https://t.co/iVHBUKy7y5",130,608,6934
StephenCurry30,[  40   10 2021],"This is powerful!! #UnanimousMedia and Director @thebrianivie with an inspiring look at the men and women of #CancerAlley and their fight for justice. To those still fighting, we see you and stand by you. @sypherfilms https://t.co/OljLa7yyhQ #EnvironmentalJustice https://t.co/138TUNtl90",42,127,1646
StephenCurry30,[  40   10 2021],"Lock in! #DubNation #lucky13 

#currybrand @warriors https://t.co/ZONZWtpNka",447,2218,25210
StephenCurry30,[  39    9 2021],Beautiful day in the neighborhood!! We back #Year13 https://t.co/izur2Yd2FQ,513,3777,37192
StephenCurry30,[  39    9 2021],A A Ron is an absolute animal 😂. Wow @AaronRodgers12,253,1424,16276
StephenCurry30,[  38    9 2021],@DianaTaurasi x @S10Bird 🙌🏽 https://t.co/WOsxarDJfL,6,32,207
StephenCurry30,[  38    9 2021],Not often you get a chance to talk to the 🐐 An honor and privilege to speak with MJ at the #RyderCup ⛳️🙌🏽 https://t.co/rdoLVXa1mq,321,1647,21285
StephenCurry30,[  38    9 2021],👀🔥 https://t.co/a3VDXheVW1,113,131,4633
StephenCurry30,[  38    9 2021],"It's time y'all, out here feeling GOOD bc we got an epic @holeymoleyabc season finale in store for you tonight! 8|7c on ABC, be there. ⛳️🏌️ https://t.co/mr63Y6sT0e",70,69,1342
StephenCurry30,[  38    9 2021],⏳ Waiting for Thursday's @holeymoleyabc's finale like... https://t.co/qehQkX4kxN,144,211,4175
StephenCurry30,[  37    9 2021],https://t.co/igbdPZ0ve9,405,4069,36552
StephenCurry30,[  36    9 2021],#KeepPounding https://t.co/qh4QqdjJ9I,154,284,3836
StephenCurry30,[  36    9 2021],Love my guy @MardyFish make sure y’all check his story out now https://t.co/cBlLXhjU8C https://t.co/UMMNqB1tfF,89,104,1829
StephenCurry30,[  36    9 2021],.@PhilMickelson said I flinched..😂 https://t.co/4zN39T52gq,188,430,8759
StephenCurry30,[  36    9 2021],@giseleofficial @TSM @FTX_Official I'm in 💪🏽,48,29,510
StephenCurry30,[  36    9 2021],".@eatlearnplay bus is hittin the road! 🚌 Amazing day at @eoydc w/ @ayeshacurry, brought to life to promote literacy &amp; provide hunger relief to underserved families in the Bay Area. Love to @OaklandReads @ACCFB @CruisinKitchens @ckoakland1 @literati for making it happen. 🙌🏽📚 https://t.co/suc2fsrUKD",145,257,2726
StephenCurry30,[  36    9 2021],"Summer isn't the offseason, it's mini golf season 💯⛳️ Catch ya tonight at 8|7c for a brand new @holeymoleyabc! https://t.co/sSPSt2yQkf",61,71,1313
StephenCurry30,[  36    9 2021],"@literati @Logic301 Welcome to the @literati fam, @Logic301 🙌🏽",11,49,876
StephenCurry30,[  36    9 2021],"Not our job, just our obsession. Chasing birdies and dressed to the nines for all 18. #CurryBrand https://t.co/UxWsdOTK96",176,332,7168
StephenCurry30,[  36    9 2021],@FTX_Official Just getting started in the crypto AND video editing game 😂 pumped to join the team,148,117,1972
StephenCurry30,[  36    9 2021],@TSM My bad y’all 😂😂,58,86,7310
StephenCurry30,[  36    9 2021],Just getting started in the crypto game...y'all got any advice??,21921,9071,93447
StephenCurry30,[  36    9 2021],You're not gonna want to put this one down 💯 @NicoleLynnLewis thank you for sharing your story and for helping educate me and the 🌎 on how we can better support young moms and their kids. Looking forward to sharing this one with the @literati fam! #StayUnderrated https://t.co/Yb6vivzOKS,135,105,1585
StephenCurry30,[  35    9 2021],Congrats Bro! https://t.co/DlxaG1mDJk,464,2682,39134
StephenCurry30,[  35    9 2021],"Year 👌🏽 of the #UnderratedTour is in the 📚❗️ s/o to our incredible partners who helped bring it to life @Rakuten @WilsonBasktball @United @UnderArmour. Your support is making a tremendous impact on the lives of all our hoopers 💯

#StayUnderrated @underrated https://t.co/533NpAGbFw",106,172,2880
StephenCurry30,[  34    8 2021],This one hits home…@ayeshacurry &amp; I are excited to announce the Curry Family Women’s Athletics Initiative aimed at helping close the inequity gap in women’s sports starting with @DavidsonCollege. It's on all of us to help female scholar-athletes keep shining. Let’s goooo Cats! https://t.co/9AcX5Nubi2,553,1092,11721
StephenCurry30,[  34    8 2021],"West Region, y'all brought everything you had 👏🏽👏🏽👏🏽 The competition was on another level! The #UnderratedTour Powered by @Rakuten's 16 @underrated headed to the Bay are...

#StayUnderrated https://t.co/AwNhO7KpJO",178,255,4158
StephenCurry30,[  34    8 2021],Now on the tee…..that’s big time @TheRealJRSmith 🙌🏽🙌🏽🙌🏽 https://t.co/kzDhJgBPCb,146,838,20614
StephenCurry30,[  34    8 2021],"The best in the game! ⛳️ @CallawayGolf &amp; @eatlearnplay collab for a special edition of the Truvis ball, helping unlock the potential of every child and in the game of golf. Oh yeah, it'll help you hit some 💣💣💣 too 👀 https://t.co/2tYIjXVO2J https://t.co/luLQcEriJ1",122,192,3115
StephenCurry30,[  34    8 2021],"@lukepmurphy @underrated Thank you for coming out, Luke! #StayUnderrated",3,2,62
StephenCurry30,[  33    8 2021],Y'all know what time it is 🔥⛳️ It's Family Night on @holeymoleyabc! Get comfy and ready for some laughs on a new episode tonight at 8|7c on ABC. #holeymoley https://t.co/tXO3fdnPjw,82,117,1779
StephenCurry30,[  33    8 2021],"Chicago came to play ❗️😤 The North Region of the #UnderratedTour Powered by @Rakuten made this stop the toughest one yet. The 16 @underrated boys and girls coming to the Bay are...👀

#StayUnderrated https://t.co/PkPorl4v8x",120,234,3711
StephenCurry30,[  33    8 2021],@literati @mPinoe 👏🏽 welcome to the @literati fam @mPinoe,5,2,55
StephenCurry30,[  33    8 2021],@NicoleLynnLewis @literati Looking forward to diving in @NicoleLynnLewis!,4,1,20
StephenCurry30,[  32    8 2021],The @underrated fit is too 🔥🔥🔥 #StayUnderrated https://t.co/QlGLbRStc6,60,136,3206
StephenCurry30,[  32    8 2021],Out here having nothing but fun on @holeymoleyabc ‼️ Y'all ready for a new episode? Tune in to ABC tonight at 8|7c. #holeymoley https://t.co/PE8Mt2SMrC,97,178,3214
StephenCurry30,[  32    8 2021],"Dallas, you brought the 🔥🔥 to the South Region of the #UnderratedTour Powered by @Rakuten. The 16 @underrated hoopers coming to the Bay are...👀 

#StayUnderrated https://t.co/tYolMtkHrM",89,231,4009
StephenCurry30,[  32    8 2021],Messi has some good taste I see. Good luck at PSG my guy 🙏🏽 https://t.co/7Lj6S0tevb,1721,51245,397559
StephenCurry30,[  32    8 2021],More @holeymoleyabc on the way? That's 💰😏 Hope y'all are enjoying season 3! Back up to our shenanigans on @ABC with a brand new ep this Thursday. https://t.co/qZxCQB73zA,97,126,3245
StephenCurry30,[  31    8 2021],"I see you, Dallas! 🙌🏽🙌🏽🙌🏽 #StayUnderrated https://t.co/H7myr01VqY",98,147,4415
StephenCurry30,[  31    8 2021],I’m taking that straight over the left field wall with the meanest bat flip you’ve ever seen. Bautista style https://t.co/1fLSiZMSMm,356,3814,55651
StephenCurry30,[  31    8 2021],Hi @NemanjaBjelica 👊🏽 https://t.co/pRrPTWwrAA,173,679,15355
StephenCurry30,[  31    8 2021],Let’s get it bro 🙌🏽 https://t.co/YBHM05MnRK,184,1030,23717
StephenCurry30,[  31    8 2021],Welcome back Pro! https://t.co/uBiVr3mFzM,915,9984,73470
StephenCurry30,[  31    8 2021],"We're baaaaaack (and everyone was looking good!). The East Region of the Underrated Tour Powered by @Rakuten really showed us how to kick things off. The 16 @underrated boys and girls coming to the Bay are…

#StayUnderrated https://t.co/rK4cncKAcz",132,236,4143
StephenCurry30,[  31    8 2021],Haha them boys out there cooking…🇺🇸🇺🇸🇺🇸,610,3797,65443
StephenCurry30,[  31    8 2021],@LeVelleMoton Bruhhhhh keep sending the heat 🙏🏽,4,7,72
