user,date,content,replyCount,retweetCount,likeCount
TonyRobbins,[  44   11 2021],How to Find the Gift in Every Moment https://t.co/4DHYCN6z8Y via @YouTube,4,17,61
TonyRobbins,[  42   10 2021],"Want to discover your ultimate purpose? Join us on October 23 for a LIVE training event and celebration of the 5-year anniversary of the #1 Netflix Documentary, Tony Robbins: I Am Not Your Guru! Click here to register: https://t.co/ziDJsqJFFm https://t.co/46C8Ll7sPk",28,23,139
TonyRobbins,[  41   10 2021],A fun and fascinating conversation on the post-pandemic “rules of the game” and what we can do to thrive in the times ahead! https://t.co/La6Zue9pa9,14,22,125
TonyRobbins,[  41   10 2021],"Want to discover your ultimate purpose? Join us on October 23 for a LIVE training event and celebration of the 5-year anniversary of the #1 Netflix Documentary, Tony Robbins: I Am Not Your Guru! Click here to register: https://t.co/ziDJsqJFFm",14,12,132
TonyRobbins,[  39   10 2021],"@raytech247 @FeedingAmerica Thank you for your generosity, @raytech247! Getting close to the 800 MILLION MEALS mark - here's a link to the progress tracker 🙌https://t.co/8K9pgFjlR0",1,0,3
TonyRobbins,[  39    9 2021],"I am continuing to MATCH your donations, $1 for $1, through my #ONEBILLIONMEALSCHALLENGE with @FeedingAmerica. Please click here if you would like to make a contribution and help put much-needed meals on the table for families in need: https://t.co/yI5dqJPWhv 

#hungeractionmonth https://t.co/pQoWIRNMig",22,27,140
TonyRobbins,[  38    9 2021],ARE YOU READY TO RISE UP? 🙌 Join the 2021 WeRiseUP Film Premiere &amp; Summit — and watch my never-seen-before interviews and the WeRiseUP Movie Premiere featuring me for FREE — happening this week only! https://t.co/Ug3FJTmhTs,58,37,174
TonyRobbins,[  35    9 2021],What if we chose to appreciate every moment as if it were our last? https://t.co/3aT4AKiCf7,60,85,490
TonyRobbins,[  34    8 2021],https://t.co/3yLn9Cu5mu,65,397,1492
TonyRobbins,[  31    8 2021],"“Heart First. Wallet Second”. Schooling the NBA on lessons of the… | by Kenny Lauer | Prime Movers Lab | Aug, 2021 | Medium https://t.co/zu0kBk1eT8",83,33,209
TonyRobbins,[  30    7 2021],https://t.co/dAksmyvuh5,71,427,1454
TonyRobbins,[  29    7 2021],"“I Am You is inspired by the story of a refugee, the horrendous conditions before his heroic journey, the heartbreaking indifference confronting him along the way, and the uplifting power and humanity found in hope, truth and justice.”",24,76,442
TonyRobbins,[  29    7 2021],"Congrats to my friend @SoniaNCole who is an #Afghan #American filmmaker and the Director and Producer of the film, I AM YOU.  A must-watch film for anyone and everyone! @IAMYOUmovie is on Amazon right now https://t.co/WytoKMQa2K and Apple iTunes at https://t.co/L8zllAHiCz. https://t.co/KEri5MZedf",178,334,1502
TonyRobbins,[  29    7 2021],https://t.co/rDx2kcpKuG,29,101,422
TonyRobbins,[  28    7 2021],"Your #MORNINGROUTINE has a lasting impact on the rest of your day. Use this 15-min PRIMER as a preparation tool to start the day FOCUSED, ENERGIZED, CREATIVE, CENTERED and CONNECTED to your ultimate outcomes. https://t.co/rBc19pjSID #priming",19,85,406
TonyRobbins,[  28    7 2021],https://t.co/HKE9Oolyl8,41,277,1001
TonyRobbins,[  28    7 2021],"Our friend @rustyrockets Special is a MasterClass in language and meaning; on moving from selfishness to spiritual awakening - plus Shakespeare, jokes, cursing &amp; a dog! A valuable and funny hour on WAKING UP to who you really are. Get your tickets HERE https://t.co/lOdckIIUEB https://t.co/Dbnfgho3dz",4,25,163
TonyRobbins,[  27    7 2021],"What do all world-class athletes, artists &amp; business execs have in common? They have a coach in their corner. No matter what area of life you want to change, investing in a coach is one of the best ways to help you perform at your peak. Thx @Entrepreneur! https://t.co/gmbGhrpKrM",40,60,380
TonyRobbins,[  26    7 2021],Sage &amp; I had the privilege of connecting with our beloved friend &amp; brother on the path @SadhguruJV. Sadhguru is a deeply beautiful soul with such a generous heart.We hope you’re able to take in his profound video for your own inner freedom this weekend.❤️ https://t.co/yCX7I8o1dz,163,1162,1795
TonyRobbins,[  26    6 2021],The Fastest Way to End Suffering | Tony Robbins https://t.co/ahHs9mfnJH,17,41,190
TonyRobbins,[  24    6 2021],"🔥 We're BACK! 🔥 Unleash the Power Within will be LIVE In Person November 11 - 14, 2021.  https://t.co/9Iud8KXXce",14,23,142
TonyRobbins,[  23    6 2021],"👥 20,000 Households 
🌍 129 Countries  
💬 7 languages translated simultaneously

Here’s a peek inside the room at this past weekend’s Unleash the Power Within Virtual event 🔥 https://t.co/0uJ50sbqve",23,23,170
TonyRobbins,[  23    6 2021],"For the first time in 2 full years... 

We're back LIVE and IN PERSON for Unleash the Power Within this November 11-14, 2021! 🔥

🎟️ Seating is extremely limited, so act now to get your ticket before they're gone. https://t.co/h7lfO0542i",25,26,238
TonyRobbins,[  22    6 2021],https://t.co/ws5fphCwLb,23,237,824
TonyRobbins,[  22    6 2021],Building @orangetheory Fitness: Tony Robbins interviews Ellen Latham at #BusinessMastery https://t.co/7MoagKmqxx,3,6,62
TonyRobbins,[  22    6 2021],"Congrats to my partners on #manssearchformeaning on the premiere of their short film about the dangers of high-pressure schooling. Please watch the full-length program, hosted by my friend @PrinceEa, and featuring panels of students and community leaders. 
https://t.co/DTZhVTWaHa",12,17,122
TonyRobbins,[  22    5 2021],"Thank you to my good friend and partner @pitbull for having me as his guest at the #CharlotteMotorSpeedway! Looking forward to growing our impact-driven partnership, this time on the @NASCAR speedway! 🏎⚡️ https://t.co/MAz8tUu7uS",9,27,239
TonyRobbins,[  21    5 2021],https://t.co/0yrVe3BCwT,29,125,673
TonyRobbins,[  21    5 2021],"Congrats to @DrShefali on the launch of your new book, A Radical Awakening! A must-read for anyone wanting to transcend their fears &amp; rediscover the person they were always meant to be. https://t.co/su509BJzt7",9,24,143
