user,date,content,replyCount,retweetCount,likeCount
VancityReynolds,[  43   10 2021],@MatthewPaquette Beautiful work! 🏴󠁧󠁢󠁷󠁬󠁳󠁿🏴󠁧󠁢󠁷󠁬󠁳󠁿🏴󠁧󠁢󠁷󠁬󠁳󠁿,8,10,910
VancityReynolds,[  43   10 2021],@WrexhamUSA @wrexhamsteve @fearlessidzine @Wrexham_AFC https://t.co/FpkI3r3jan,57,46,1394
VancityReynolds,[  43   10 2021],I preemptively apologize for the cursing today. @Wrexham_AFC https://t.co/umHQzwKGLs,233,647,11806
VancityReynolds,[  43   10 2021],"If Facebook can rebrand as Meta without asking me, then I get to rebrand myself as Birthday Reminders, no questions asked. Happy Birthday @AndyRichter.",323,765,27444
VancityReynolds,[  43   10 2021],"Steps to building a business empire include wearing glasses, sitting on stools, and taking black-and-white photos for @WSJMag. @MaximumEffort https://t.co/k3grCcu3fk",619,970,27715
VancityReynolds,[  43   10 2021],"While I appreciate the @peopleschoice nominations, I think there’s an issue with the voting system. @TheRock

https://t.co/1TUOuBP0if https://t.co/YzxNfaEc01",212,361,8176
VancityReynolds,[  42   10 2021],Grow Grow Grow. Proud of this team ⬇️ https://t.co/mhMFcdSSdf,131,158,4029
VancityReynolds,[  42   10 2021],Lift with your neck. https://t.co/xD8p8Wxw04,582,2589,28889
VancityReynolds,[  41   10 2021],@SekushiSatsujin @Wrexham_AFC @AviationGin @Morrisons @marknewton70 I’ve always been a huge Home and Away fan.,30,16,1007
VancityReynolds,[  40   10 2021],And link to ACLU: https://t.co/GlZn4VKFLx,39,124,1354
VancityReynolds,[  40   10 2021],"We're TRIPLE matching all donations to @NAACP_LDF and @ACLU up to $1 million.

Donate here until midnight tomorrow. ⬇️⬇️⬇️

https://t.co/W9v6Xos33i",95,427,3812
VancityReynolds,[  40   10 2021],@seth_gunther @Mintmobile Same. Welcome aboard.,5,0,47
VancityReynolds,[  40   10 2021],@Mio_Yokoi Check your dm,51,11,1121
VancityReynolds,[  40   10 2021],"Like everyone, I almost forgot it was #NationalVodkaDay. Well, almost everyone… https://t.co/VvlYG91j8r",508,947,15123
VancityReynolds,[  39   10 2021],@Stray_Kids You thought I’d miss it? #HappyBangChanDay,1355,29871,93342
VancityReynolds,[  39   10 2021],"@RMcElhenney Honestly, this could not look more like you. The brown hair, the dead inside eye. Gorgeous.",22,21,1407
VancityReynolds,[  38    9 2021],@RealHughJackman @blakelively @bettybuzz This wasn’t part of the deal when I bought this video on Cameo.,86,221,9287
VancityReynolds,[  38    9 2021],Luckily they pair deliciously with @AviationGin. Coincidence? Conspiracy? Hard to say. https://t.co/thagCf6FrO,337,1204,36276
VancityReynolds,[  38    9 2021],@kfreberg @FreeGuyMovie I address this on my Instagram page.,21,10,751
VancityReynolds,[  38    9 2021],@ACLU @NAACP_LDF Donate to @ACLU and we’ll match it ➡️ https://t.co/tMRL4mxkka,19,66,294
VancityReynolds,[  38    9 2021],You donate. We’ll match it. https://t.co/W9v6XoJDUQ,93,206,3046
VancityReynolds,[  38    9 2021],"We still believe in you, 2021. Let’s help @ACLU and @naacp_ldf change it together. https://t.co/G6hPBPO5Du",239,800,13969
VancityReynolds,[  37    9 2021],"@JulieRohrYEG I’ve reread the thread ten times. If her passing was this beautiful, her life must’ve been gorgeous. Condolences to everyone who orbited Julie. This woman lived.",21,63,6544
VancityReynolds,[  37    9 2021],"@AtSignNick @RMcElhenney @tiktok_us @KITH Thank god we’re not the coaches. Nonetheless, you’re in. 🏴󠁧󠁢󠁷󠁬󠁳󠁿",6,3,120
VancityReynolds,[  37    9 2021],@BenjaminEnfield The song is originally by @mikasounds 🙌,46,53,2308
VancityReynolds,[  37    9 2021],@meJat32 First!,10,2,129
VancityReynolds,[  37    9 2021],@AviationGin I forgot about this one too.,41,27,1885
VancityReynolds,[  37    9 2021],@wmorin @RealHughJackman I’ve tried. And I’ll just say it only deepened my appreciation for what Abbott and Costello pulled off. That bit is miraculous.,8,1,53
VancityReynolds,[  37    9 2021],Late to the Grace Kelly Tik Tok trend but WAY early for our Christmas movie musical.            🎵 ➡️ @mikasounds https://t.co/QdpfMv7QJw,2565,15420,102443
VancityReynolds,[  37    9 2021],@GentScientist @AB_AgainstUCP @iamhannah_h @JulieRohrYEG @SchittsCreek @danjlevy @Realeugenelevy @sarahlevy_ @annefrances @colinmochrie @NathanFillion Check you dm’s.,2,0,60
VancityReynolds,[  36    9 2021],"Today, “Rest of World”. Tomorrow… the world? @Wrexham_AFC @EASPORTSFIFA https://t.co/4NTE2WHGeM",948,1772,19182
VancityReynolds,[  36    9 2021],"@BrandonDavisBD My guesses:

- Fantastic 1
- Gin Genie 
- Weekend at Blind Al’s 
- Fantastic 2
- Nick Fury Road 
- Fantastic 3",222,596,13288
VancityReynolds,[  35    9 2021],@TheLadyNess @WeAreMel @quinmyers Fuck yes you can.,5,5,216
VancityReynolds,[  35    9 2021],"Life doesn't always imitate art, but I'd wear a tux and do karate with @TheRock and @GalGadot everyday if I could. #RedNotice, coming November 12 to @netflix. https://t.co/VHxJAvMqu8",1529,3979,38209
VancityReynolds,[  35    9 2021],Mint Mobile Ida Update: Any data add-ons for customers in Louisiana or Mississippi between 8/29-9/12 will be refunded. Must have an area code or zip in those states. Refunds will take us 3-4 days. Be Safe. @Mintmobile,196,402,9122
VancityReynolds,[  35    9 2021],@brand12301993 🙌👔🙌,4,3,64
VancityReynolds,[  35    8 2021],@TheCinemaTicket https://t.co/yFkhj9Iaaq,866,164,5003
VancityReynolds,[  35    8 2021],"Thank you, Brent. This was the easiest way to have my Canadian passport renewed. 🇨🇦🍁 https://t.co/ieMrqIEOeW",109,283,8664
VancityReynolds,[  34    8 2021],@DevonESawa How dare you!,28,14,964
VancityReynolds,[  34    8 2021],Tickets to big gains: https://t.co/LmXg2TRdzo https://t.co/wAqdHYS2pF,1258,692,17838
VancityReynolds,[  34    8 2021],"@Syndicate Thank you, Tom! 👔",40,19,3239
VancityReynolds,[  34    8 2021],@loneblockbuster K,118,120,11066
VancityReynolds,[  34    8 2021],@oddreyrose This is the best thing I’ve read all day.,28,35,6297
VancityReynolds,[  34    8 2021],@JulianGumbo @Adweek @grd212 Thanks Julian!,9,5,458
VancityReynolds,[  34    8 2021],@Liz_Limona You are not crazy,7,2,95
VancityReynolds,[  34    8 2021],"@rjallain @FreeGuyMovie I could have saved you so much time and high-intensity nerdage. I shot the scene myself and I can tell you firsthand, I did not survive. #FreeGuy",32,26,1423
