user,date,content,replyCount,retweetCount,likeCount
justinbieber,[  43   10 2021],"🎄Rockin' Around the Christmas Tree Out Now:
https://t.co/0MiR7io2mh",1426,5265,23157
justinbieber,[  41   10 2021],🇸🇦🇸🇦🇸🇦🇸🇦https://t.co/fEgSQPKnov https://t.co/fPt4x4fnG9,2675,5701,44095
justinbieber,[  40   10 2021],"Vegas, can't wait see you tonight at 1am.",2079,4902,52460
justinbieber,[  40   10 2021],👻👻👻👻👻👻👻 https://t.co/YS5pmiEtOa https://t.co/feHhoXZBWa,1360,4358,30567
justinbieber,[  40   10 2021],🖤@Diane_Keaton https://t.co/I2EjB5Bqxx,1827,5884,24362
justinbieber,[  40   10 2021],COMPLETE EDITION WITH 3 ADDITIONAL TRACKS: https://t.co/J0iogVRB4S https://t.co/jcNEA3Fw80,2190,9538,43595
justinbieber,[  40   10 2021],What they said… https://t.co/d6kdfO7HZM,2578,8705,44407
justinbieber,[  40   10 2021],"3 unreleased songs FRIDAY. RED EYE, ANGELS SPEAK, HAILEY. https://t.co/yksCvGd7GU",3452,15083,87377
justinbieber,[  39   10 2021],OUR WORLD. OUT ON OCT 8TH. https://t.co/rtR3Nyr8wp,2258,9393,35450
justinbieber,[  38    9 2021],Join me on OCT 2nd! Tix on sale https://t.co/kpNkVQeDMz,974,2873,19078
justinbieber,[  38    9 2021],THIS MOVIE EMBODIES TEAMWORK AND LIVING WITH A PURPOSE! CANT WAIT FOR YOU TO SEE IT! THANK YOU TO EVERYONE INVOLVED 😍 https://t.co/QXbAjZLT3c,2800,12608,69750
justinbieber,[  38    9 2021],"Excited to support @SHAQ and help underserved kids!
Click here to learn more: https://t.co/1KXJgkfg8D https://t.co/srI9BD7W66",949,3534,19148
justinbieber,[  37    9 2021],"Today is the last day to bid on this amazing project.

Medishare 4 Haiti is on the ground providing critical medical care and distributing food and hygiene kits to families affected by the devastating 7.2 earthquake in Haiti. https://t.co/E5qjkRW9UM",966,3747,19147
justinbieber,[  36    9 2021],"Experience ""Ghost"" in @Dolby Atmos 🤍 https://t.co/oanNwoAtUQ",2731,11644,43400
justinbieber,[  36    9 2021],https://t.co/nHWyftLP2Y,3530,16269,71558
justinbieber,[  35    9 2021],🇭🇹 @Medishare4Haiti is on the ground providing critical medical care and distributing food and hygiene kits to families affected by the devastating 7.2 earthquake in Haiti. We have set up an auction with @Proplr to raise funds for their lifesaving work 🙏🏼 https://t.co/E5qjkRW9UM https://t.co/GhQ4kEADhJ,973,3815,19901
justinbieber,[  35    9 2021],https://t.co/KJdAS8CqB1 https://t.co/Ekpc8vSrm8,1652,6466,37042
justinbieber,[  33    8 2021],https://t.co/hPBLDGLHDy,371,2158,15646
justinbieber,[  33    8 2021],"sign up via the link: https://t.co/JLivjA5ze6 
 @pollen @wynnnightlife https://t.co/LxShmR0Pkm",1181,4529,27093
justinbieber,[  33    8 2021],Friday. @Skrillex @DonToliver https://t.co/bVqBdyWcKw,2228,8560,56667
justinbieber,[  32    8 2021],Thank u for letting me jump on the song of the summer. Essence remix out tonight https://t.co/sN3HvPNooD,3895,25269,103282
justinbieber,[  32    8 2021],. @thekidlaroi https://t.co/SAaBsiFp3n,2334,4962,30866
justinbieber,[  31    8 2021],Been planning this one for a while… I'm heading to Vegas and I'm taking some friends.  Sign up for more info..  @pollen https://t.co/JLivjA5ze6 https://t.co/zmbOaT8WYa,2080,5145,29830
justinbieber,[  30    7 2021],You outside? STAY right there. https://t.co/HKY53tJBhD,2147,4499,42907
justinbieber,[  28    7 2021],"Stay montage @thekidlaroi 
https://t.co/YG92G4XNfm",1501,4587,27783
justinbieber,[  27    7 2021],"STAY OUT NOW @thekidlaroi 
https://t.co/b95Ju8i6yI https://t.co/5K58KhFaP3",2878,15845,59313
justinbieber,[  27    7 2021],Friday #Stay @thekidlaroi https://t.co/fetD51nY5E,2133,12337,58098
justinbieber,[  26    7 2021],"Pre-save to unlock the cover 
@thekidlaroi #Stay https://t.co/LPhP0xcnB6",885,3405,19257
justinbieber,[  26    6 2021],"JUSTICE ON VINYL
https://t.co/d0FF7iwWIF https://t.co/Fx1K2arMnc",922,3573,21617
justinbieber,[  26    6 2021],July 9? https://t.co/f0P8nzEdMQ,2326,6119,50069
justinbieber,[  23    6 2021],What You See @migos Culture III https://t.co/SMzpY2fkgi https://t.co/2GadbwzjDL,1163,4776,27677
justinbieber,[  23    6 2021],See you in Vegas https://t.co/PV1vnIWK8v,1869,4594,31322
