user,date,content,replyCount,retweetCount,likeCount
maxkellerman,[  42   10 2021],"@Super70sSports Also in his favor: once told me Buster Douglas was not in fact a 40-1 underdog against Mike Tyson, because the best value he could find where the book would actually take the bet was 17-1.",5,0,38
maxkellerman,[  42   10 2021],"Max on Boxing is back this Friday, 5:30PM ET on ESPN2!
“Max Me Anything” by responding to this tweet. Best ones make the show.",229,42,765
maxkellerman,[  41   10 2021],Is the GOAT right? https://t.co/OvsD3Wo0aU,31,7,256
maxkellerman,[  40   10 2021],"Can a fighter be beaten up, and knocked out, and on that night become great? Eye of the beholder. #FuryWilder3",240,198,3220
maxkellerman,[  39    9 2021],@Bwillz2020 Appreciate that!,6,1,24
maxkellerman,[  39    9 2021],@SLam517 @espn 👊,5,1,80
maxkellerman,[  38    9 2021],"#JoshuaUsyk was reminiscent of Holmes-Michael Spinks. AJ needed to impose his size and stay to the body, but never fully committed to it. #boxing",125,156,1691
maxkellerman,[  38    9 2021],@DanRafael1 Indeed,2,0,18
maxkellerman,[  38    9 2021],@ChrisWrightWx Thank you!,2,0,4
maxkellerman,[  37    9 2021],"@hanker84 @keyshawn @jarrenwilliams7 Thanks, Hank!",23,0,108
maxkellerman,[  36    9 2021],💍? @PatrickMahomes https://t.co/AX45ysjW1W,90,30,1162
maxkellerman,[  36    9 2021],"If Patrick Mahomes never played another down, HOFer?",224,31,339
maxkellerman,[  36    9 2021],@DonStarr6 @_RafaelToro They sure did,1,0,2
maxkellerman,[  35    9 2021],@_RafaelToro Langford #1,2,0,8
maxkellerman,[  35    9 2021],Two of the best of all time to never be champ https://t.co/weOdc1i06C,73,26,437
maxkellerman,[  35    9 2021],Well it’s about time the Nets caught a break https://t.co/omLItAd7vB,162,136,3783
maxkellerman,[  34    8 2021],Tonight 10pm ET on @NBC my alma mater ⁦@Columbia⁩ is on #CollegeBowl https://t.co/dISxLQajyZ,108,10,253
maxkellerman,[  32    8 2021],@joeyDosik 👊,0,0,14
maxkellerman,[  32    8 2021],Disagree https://t.co/HuceZACBUe,165,48,1454
maxkellerman,[  32    8 2021],Lucky to be raised by a woman of such  obvious wisdom https://t.co/IEvcH19BU4,34,15,785
maxkellerman,[  32    8 2021],This color is clearly green. This is like when people thought that blue dress was white… https://t.co/aeZSdM3sDV,40,15,306
maxkellerman,[  32    8 2021],Yessir https://t.co/gFh4bRNPoh,14,4,143
maxkellerman,[  32    8 2021],He makes better decisions faster than anyone else https://t.co/2JxU8YFfBP,131,59,1004
maxkellerman,[  32    8 2021],"“Max Me Anything” by responding to this tweet, and I’ll answer the best ones on Max on Boxing special 11:30pm start time, Friday night ESPN2.",178,6,142
maxkellerman,[  31    8 2021],"Ref took a point from Torrez quick, and not for much, but apparently no number of warnings was enough to take a point from Jalolov #Olympics",19,21,237
maxkellerman,[  31    8 2021],McGregor-Aldo II at 145?,400,66,1628
maxkellerman,[  31    8 2021],"Undoubtedly a top heavyweight. But he’s coming off a KO loss, while Ngannou has taken less than 6 rounds to beat his last 5 opponents (including Stipe), and Jon Jones and Gane (if he wins tonight) haven’t lost since… https://t.co/tpsz9nYu7Q",18,10,103
maxkellerman,[  31    8 2021],Heavyweight #Big3 in the #UFC? https://t.co/zUtm0FQ6uN,13,10,120
maxkellerman,[  31    8 2021],"Receipts!
(Check the date):

https://t.co/frFW2xDEzi https://t.co/JTsTbKjaki",24,4,90
maxkellerman,[  31    8 2021],Warriors to Iggy: https://t.co/NL4RhPlS4i,131,976,10819
maxkellerman,[  31    8 2021],"Matthew Stafford is the QB under the most pressure this season. He’s the Dame Lillard of the NFL - Mr. 4th Quarter - clutch on decent teams. If Dame got traded to a power, we’d expect a title. Same goes for Stafford in 2021.",107,69,1038
maxkellerman,[  30    7 2021],Of course the Nets took the scorer the Knicks passed on twice. #NBADraft,109,89,1561
maxkellerman,[  30    7 2021],@BraidedCurry30 Disagree,18,4,258
maxkellerman,[  30    7 2021],Team I have my eye on tonight is Golden State. Could add Davion Mitchell to Steph/Klay/Dray and still have assets including: Wiseman/Wiggins/Poole/Oubre/Lottery pick to offer any team the best possible deal for any player/pick they might consider trading. #NBADraft,54,85,1064
maxkellerman,[  30    7 2021],"Incredible if the #Lakers turn a bunch of useful spare parts into Russell Westbrook. LeBron/AD/Westbrook is a legit answer to KD/Harden/Kyrie. Brooklyn Big 3 will shoot it better, Lakers Big 3 will defend better 
#nba",630,1379,12150
maxkellerman,[  30    7 2021],Kamaru Usman vs. Colby Covington 2 could be as thrilling as their first ... https://t.co/f2x0fC58kW via @YouTube,22,5,118
maxkellerman,[  30    7 2021],"“Max Me Anything” by responding to this tweet, and I’ll answer the best ones on Max on Boxing special 7pm start time, Friday ESPN2.",217,8,254
maxkellerman,[  30    7 2021],"Welp, Rabbit Redux is just going to have to wait, cause look what new reading I found this Monday morning https://t.co/HEtBn9u8on",7,2,41
maxkellerman,[  29    7 2021],Orders a 50 piece. It’s perfect. #Giannis https://t.co/PR51rPyx7y,55,159,2172
maxkellerman,[  29    7 2021],"Giannis at the post game press conference said that he could’ve joined a super team and won a championship, but that would be the “easy way, this was the hard way,” and then hit the table with his hand and said “the right way!” Is he the most likable superstar in sports?",184,146,845
maxkellerman,[  29    7 2021],Giannis just won the title and Finals MVP with a 50 point performance. He didn’t win regular season MVP for a 3rd consecutive season because Jokic beat out Embiid for it. AD could’ve been Finals MVP last year. We are in an era of bigs. #NBAFinals,110,387,4923
maxkellerman,[  29    7 2021],All time great performance from Giannis. Chris Paul and Devin Booker missed big shots down the stretch. Middleton didn’t. #NBAFinals,78,298,4011
maxkellerman,[  29    7 2021],That’s an unfriendly rim Phoenix is shooting on,29,34,694
maxkellerman,[  29    7 2021],Rodgers about to tunnel out of there like Andy Dufrense https://t.co/Z15KJf1NjH,11,10,214
maxkellerman,[  29    7 2021],"“Max Me Anything” by responding to this tweet, and I’ll answer the best ones on Max on Boxing 5pm ET, Friday ESPN2.",238,15,299
maxkellerman,[  29    7 2021],@whoisdragon Least I’m consistent,3,0,62
maxkellerman,[  29    7 2021],"Where’s Kool G Rap on “Bad to the Bone?”
“Big spender cause I’m a winner like Bruce Jenner/I burn all beginners then let em simmer like a TV dinner” https://t.co/H3zmn8muWn",20,8,85
maxkellerman,[  29    7 2021],@danorlovsky7 Wait until you start running like a retired baseball player on Old Timer’s Day. At a certain point it’s like you literally forget how to run,0,2,58
maxkellerman,[  29    7 2021],"On the dad scale, this gets at least a 9 from me https://t.co/zqD1DEOhZ9",30,20,881
maxkellerman,[  28    7 2021],"Not saying he’s the best lightweight in the world, but would Makhachev be the underdog against any 155lber? #MakhachevMoises #UFC",72,18,635
maxkellerman,[  28    7 2021],"Draw in a helluva fight, so no new Undisputed Jr Middleweight. And now on to Makhachev. Is he really maybe the best lightweight in the world, or are MMA fans wish-casting because Nurmagamedov retired and they’re hoping he’s the next best thing? #UFC",59,20,449
maxkellerman,[  28    7 2021],"Castano’s timing makes his pressure effective, and is the reason he’s beating Charlo right now",63,58,905
maxkellerman,[  28    7 2021],"Chris Paul’s foul on Giannis was the killer. Worse than Booker’s turnover, because there at least Jrue Holiday made a play. Just an awful blunder. #NBAFinals",177,266,3001
maxkellerman,[  28    7 2021],"Damn. Was one of my favorite entertainers when I was a kid, and a generation later my daughters loved him from Yo Gabba Gabba. This news really sucks. https://t.co/BLxOwLlTTh",14,67,1335
maxkellerman,[  28    7 2021],Knicks could’ve won it right there. Huge. https://t.co/3OTsvgc9P2,18,4,131
maxkellerman,[  28    7 2021],"That’s 8 on Booker folks, he’s out of there #NBAFinals",122,642,7283
maxkellerman,[  28    7 2021],Booker with diplomatic immunity,79,320,2816
maxkellerman,[  28    7 2021],Booker playing with 7 fouls at this point,189,1157,11632
maxkellerman,[  28    7 2021],That Giannis block up there with LeBron’s chase-down #NBAFinals,599,1028,10178
maxkellerman,[  28    7 2021],"“Max Me Anything” by responding to this tweet, and I’ll answer the best ones on Max on Boxing 5pm ET, Friday ESPN2.",274,11,289
