user,date,content,replyCount,retweetCount,likeCount
mcuban,[  43   10 2021],Check it out ! https://t.co/HKpHrEXVmZ,451,80,382
mcuban,[  43   10 2021],💯💯💯 https://t.co/1iI1z0Oi9Q,414,157,800
mcuban,[  43   10 2021],"@EmilSkandul @gabriel_zucman In his report he accounts for this. There is a lot more mobility in europe, at least pre Brexit , then there is here in the USA. So it's easier to move cross borders. We tax no matter where you live.",6,1,5
mcuban,[  43   10 2021],"@gabriel_zucman @JoeBiden That said, I do think it's worth modeling your .02 pct tax on large public companies. And I would suggest modelling what would happen in a multi-year bear market. We don't want this wealth tax to turn into an expense rather than revenue for the country.",2,1,8
mcuban,[  43   10 2021],"@gabriel_zucman My favorite  @JoeBiden saying is ""what separates this country from every other in the world is our spirit of entrepreneurship and innovation"". IMO,  Taking data from other countries is not going to be useful and could create unintended consequences.",2,0,4
mcuban,[  43   10 2021],@gabriel_zucman Isn't that the point of a dynamic model  to try to best approximate a range of outcomes so policy makers can fully understand potential outcomes ?,2,0,3
mcuban,[  43   10 2021],"@gabriel_zucman 1st let me say I respect the amount of work you have done and enjoyed reading it.  But as you say in this doc, ""behavioral effects have consequences"".  Given the small universe and skew within the cohort why not interview and model?",4,0,3
mcuban,[  43   10 2021],@gabriel_zucman Did I lose your attention @gabriel_zucman ? Can you point me to this information ?,2,0,3
mcuban,[  43   10 2021],@MavsFilmRoom @prezgeorge23 @JC1053 10k people in total to start.  If we have more demand I will look at doing more.,11,3,23
mcuban,[  43   10 2021],@prezgeorge23 @JC1053 Season ticket holders first.  Then we open it up to everyone.  Hopefully this week,4,2,24
mcuban,[  43   10 2021],@JC1053 What we are finalizing is a program with DirecTV Streaming where for Mavs fans I will personally pay $50 per month of your bill during the season.  So your net cost per month will be $35. You get all the DStream channels as well. But you have to watch the games to continue.,20,16,115
mcuban,[  43   10 2021],"@gabriel_zucman The one I read said just that,  but didn't it also say it did not account for behavioral modifications ? Just that you effectively discounted growth? 
  And I'm not sure behavior in Denmark would model  behavior here.  Have you modeled the USA ?",3,0,4
mcuban,[  43   10 2021],"@gabriel_zucman And while I have your attention, have you done dynamic models on a wealth tax, whether corporate or individual? I've looked but haven't found one. I'm sure you have considered all these issues.  So I look forward to seeing the models.  TIA",1,0,3
mcuban,[  43   10 2021],"@gabriel_zucman You are assuming the fed gov is an honest broker dealing with those shares. How long before a private company that became highly valued would be pressured by the gov to allow the sale of their ""passively"" held shares or what would prevent the gov from just selling them?",2,0,0
mcuban,[  43   10 2021],@gabriel_zucman I get your goal. But for passively held shares you could end up with governance issues. Particularly for private companies not looking for an exit or liquidity event.  Would make a unique episode of Succession when the gov owns 5pct. Particularly when this tax creeps up from .02,2,0,3
mcuban,[  43   10 2021],"@gabriel_zucman I'm not completely opposed to a .02pct tax on public comps with a sufficient float and market cap. However, The idea of private comps with a $1b valuation paying in stock, to be sold at auction, is insane.The arb opportunities for investors of auction vs direct would be awful",1,0,3
mcuban,[  43   10 2021],@joeymattingly @costplusdrugs we will be transparent so you will be able to see that for yourself,7,3,18
mcuban,[  43   10 2021],👇👇👇 https://t.co/R6Fh2JvHu3,135,57,829
mcuban,[  43   10 2021],@CashMoneyGoulah @elonmusk @ProTheDoge Nah. My 11 year old got me into it when it was under a penny.  He deserves all the credit,58,69,505
mcuban,[  42   10 2021],@rydoggBTC https://t.co/jYSNkP6CwT,7,1,5
mcuban,[  42   10 2021],🚀🚀🚀 https://t.co/zH6q1yfroK,254,68,476
mcuban,[  42   10 2021],Come to our home opener.  Just remember to get your ticket scanned ! https://t.co/lUQJR5lred,131,45,581
mcuban,[  42   10 2021],So am I !!! https://t.co/aIMkg1jin0,60,15,177
mcuban,[  42   10 2021],💯💯💯 https://t.co/0AEaiVfe8j,79,42,752
mcuban,[  42   10 2021],SHARK TANK WINNER TURNED A TENNIS RACKET INTO A COMB https://t.co/3RrF5Vsb8f via @YouTube,92,18,274
mcuban,[  42   10 2021],"Our new band , The Not So Human Beings,  coming to you Friday Nights on @abc @ABCSharkTank 

https://t.co/d3uUa9MbAc",159,34,434
mcuban,[  42   10 2021],@planxis @TO @Stacks @muneeb I just did,28,16,177
mcuban,[  42   10 2021],@MarcelBichon9 @HbarBeans @hedera @HalaSystems Incorrect,12,1,21
mcuban,[  41   10 2021],@VikingoBitcoin1 How about this. https://t.co/XYwpGr8whw,29,5,139
mcuban,[  41   10 2021],"@saylor We agree. As you point out people won't use their BTC for transactions. I agree stablecoins and or CBDC  will be the predominant MOE, with regulation being a wildcard",129,37,428
mcuban,[  41   10 2021],@albertinvests My point was that there will be disruptive smart contract based apps that will replace their web2 counterparts and others that will be unique. People will use these repetitively and many will become daily apps. People will need to be repetitive daily holders of the underlying,17,6,87
mcuban,[  41   10 2021],@vitorpamplona @rettlerb But I'm not just an investor. I'm an entrepreneur as well. I look for disruptive opportunities to start companies as much as invest in them.,36,13,197
mcuban,[  41   10 2021],"Best point of the day. When any asset that attempts to be a currency appreciates or depreciates, every time you spend it you trigger a taxable event.  Which explains why so few use BTC and Eth to make purchases. My bad for missing this.  H/T to Joel https://t.co/C83myzQine",749,374,4002
mcuban,[  41   10 2021],@DoddridgeJoel @MrHodl Great point.  I should have thought of this.  Thanks for reminding me.,30,1,302
mcuban,[  41   10 2021],@Cryptoflipdoh @PeterMcCormack @PrestonPysh Nope. I wanted as much control of my time as I could possibly get,17,5,132
mcuban,[  41   10 2021],@RolandStautz @CryptoMessiah Except I never said that.,19,1,134
mcuban,[  41   10 2021],@PeterMcCormack @PrestonPysh https://t.co/iMVUq4OZPM,65,25,355
mcuban,[  41   10 2021],"@PrestonPysh @APompliano BTC is what it is. The best SOV on the market.  Keep using MPL to sell it. It works. Because no one takes the type to decrypt MPL. They want to believe. Meanwhile, you can look at https://t.co/1D4fzJXejJ and see my crypto investments. I care about applications and utility",97,27,308
mcuban,[  41   10 2021],"@PrestonPysh @APompliano So when I said Bananas have more utility than BTC, but BTC was a better gold than gold, I meant it. The BTC play is not utility unless something unexpected happens with Lightning. Bananas vs Eth ? Eth has more utility. Want more proof, just look at the transaction fees for BTC.",56,24,269
mcuban,[  41   10 2021],"@PrestonPysh @APompliano That will also be a HUGE WIN for BTC. When multi-billion $ Blockchains become near inactive, a lot of people will see BTC and Eth as safe havens, and the more conservative crypto play will be BTC. The SOV play will accelerate its value.  It will be the safe haven of crypto",16,9,215
mcuban,[  41   10 2021],"@PrestonPysh @APompliano We all can argue that till we are blue in the face. Don't care. The one thing that BTC has as a HUGE advantage is that is has ZERO competition as a SOV.  All the Smart Contract chains, and really ALL the blockchains are in a DEATH war to win those applications.  Many will lose.",19,11,225
mcuban,[  41   10 2021],"@PrestonPysh @APompliano I like Eth/L2s more, and there is no point arguing the Trilemma, halving or inflation. I like it more because I can see an unlimited number of applications that will change the biz/consumer world forever. And to use them you need to buy Eth/L2. BTC doesn't have that demand pull",52,108,734
mcuban,[  41   10 2021],"@PrestonPysh @APompliano SOVs sell far, far better when there is a myth, a person and a legend to allow everyone to sell harder without really ever having to be right or wrong.  Just point to the MPL.  Supply &amp; Demand is undefeated.  BTC's challenge is that its 99pct SOV and 1pct monetary transfer.",19,5,135
mcuban,[  41   10 2021],"@PrestonPysh @APompliano IMO, it's not a cure for any financial system. It's not a hedge to anything. It's utility will be driven more by lightening than anything and its value will be driven by Supply &amp; Demand. Nothing wrong with that. Gold folks do the EXACT same thing.",28,18,279
mcuban,[  41   10 2021],"@PrestonPysh @APompliano If you dont respect me because we disagree on BTC, then you didnt ever respect me.  Im good w you. I respect your hustle. You are fun, like many Maxis, to question BTC with on here. I thank you for serving our country. IMO, BTC has become like gold, a SOV that is now a religion.",34,15,327
mcuban,[  41   10 2021],@BRumancik @PeterMcCormack @PrestonPysh @APompliano @FiresideChatApp Have you ever had to deal with a film crew in your home or work ?,17,0,31
mcuban,[  41   10 2021],@Jaukkr13 @Dennis_Porter_ https://t.co/0rsQob2Rox,4,6,24
mcuban,[  41   10 2021],@PeterMcCormack @PrestonPysh @APompliano @FiresideChatApp Have to pass.  Time is the one asset I won't share.  I don't mind the time it takes for a discussion.  But the intrusion of a film crew and dealing with it all is a deal killer.,32,0,72
mcuban,[  41   10 2021],"@PeterMcCormack @PrestonPysh @APompliano Ill tell you what. Just read a few articles on you.  A little bit hypocritical given you post your podcast revenues, but you seem like a real guy trying to make a living doing something you love.  In my self-interest, and to help you. If you do the show on @FiresideChatApp, Im in",19,1,96
mcuban,[  41   10 2021],@PeterMcCormack @PrestonPysh @APompliano Touche' But you still haven't answered the question.,17,0,42
mcuban,[  41   10 2021],@PeterMcCormack @PrestonPysh @APompliano It wasn't a trick question bro. You can't claim risk while trying to be the biggest voice on BTC on multiple platforms. I'm open about my positions across the board.  That's how I read the room bro.,20,2,107
mcuban,[  41   10 2021],"@PeterMcCormack @PrestonPysh @APompliano How can someone be as Maxi as Preston and not expect that people think he has a lot of BTC ? If that is his and your concern, shouldn't you not say anything about BTC ?",36,1,104
mcuban,[  41   10 2021],@dchidyllo @PrestonPysh @APompliano why wouldnt I be ? It changes nothing.,5,0,14
mcuban,[  41   10 2021],@PeterMcCormack @PrestonPysh @APompliano why is it dangerous ?,28,1,34
mcuban,[  41   10 2021],"@PrestonPysh @APompliano On every platform, Im guessing you tell people to HFSP if they don't own BTC, correct ? That the only way to get rich is to go all in. Correct ? I'm just curious whether you practice what you preach.  Hopefully you bought 1m BTC at 12 cents or whatever and havent sold since.",100,14,213
mcuban,[  41   10 2021],"@PrestonPysh @APompliano I don't look at it as stroking your own ego. I have no idea how much, if any, that you own.  I look at it as confirming your commitment.",43,7,178
mcuban,[  41   10 2021],@PrestonPysh @APompliano Why you are not comfortable sharing ? If this is revolutionary. If this is the future of commerce. If this is the future of our nation. Why the hesitancy ?,64,15,216
mcuban,[  41   10 2021],"@haralabob Come on now Bob. You should watch the whole video, not the edited version. We have had the discussion of how little utility BTC has. Some money transfer here and there, but not much else. You didn't disagree. And still love you too !",15,3,47
mcuban,[  41   10 2021],"@PeterMcCormack @PrestonPysh @APompliano Lol, it crushed me when I sold merchandise for DOGE.",26,19,112
mcuban,[  41   10 2021],"@PrestonPysh @APompliano Why not just tell us. You wouldn't be the first to sell too soon. Happens to a lot of folks.  I'll tell you what. If you show us how many you own, I'll show you how many I own",120,27,444
mcuban,[  41   10 2021],"@BitcoinButta @PrestonPysh @APompliano Some people talk a good game, others put their money with their mouth is. Im curious where he falls",25,1,47
mcuban,[  41   10 2021],@PrestonPysh @APompliano in case you own less than I do in Doge and you are just a poser,79,39,386
mcuban,[  41   10 2021],@PrestonPysh @APompliano Preston how many bitcoin do you own ? Have you said so publicly ?,106,10,192
mcuban,[  41   10 2021],@Eric_BIGfund @APompliano I agree 100pct on the number of maxis.  But it's more than a little fun to tweak those that are ! And I have always said I own a lot of bitcoin. Because of supply and  demand. The Maxis do a great job convincing people to join the club.  What do you think of El Salvador ?,22,6,88
mcuban,[  41   10 2021],@papiflorida @NeilJacobs I dont scream and condemn and tell everyone HFSP and that nonsense.,36,3,14
mcuban,[  41   10 2021],@millerjw13 Now do the percentage of hospital workers in NY that got vaxxed and stayed. And then look at this and the papers on HCQ and Ivermectin https://t.co/qJAceUc7hB,3,2,2
mcuban,[  41   10 2021],@frankvalentich1 @superfan_inc @kryptocrack @millerjw13 Now do the 900k doctors in this country that disagree with him,3,0,5
mcuban,[  41   10 2021],@PeterMcCormack @APompliano To discuss what ?,42,1,92
mcuban,[  41   10 2021],"@APompliano So true.  Bitcoin does embody the American ethos of today. ""Scream at everyone that doesn't agree with you about why you are right about what you think is important """,324,120,1493
mcuban,[  41   10 2021],Listen To PandaHank https://t.co/j3PtN4Qsu0,141,58,640
mcuban,[  41   10 2021],Your wit and creativity is astounding Matt. I'm impressed !!! https://t.co/Hbv2zmIrU8,368,137,4246
mcuban,[  41   10 2021],@TBraithwaite @DrJBhattacharya thank you for sharing !,5,0,1
mcuban,[  41   10 2021],@realMattBuck check it out  https://t.co/LYIIVa71qL Thats my pharma investment ~,2,0,8
mcuban,[  41   10 2021],Great job Jay ! LIke you have been doing it for years ! https://t.co/kww3SjGGMY,47,29,367
mcuban,[  41   10 2021],"@millerjw13 Ok, lets discuss it. Show me why you think that is accurate. Im happy to take a look",21,0,31
mcuban,[  41   10 2021],Did you see the news on low dose aspirin ? https://t.co/jznbZ8Fh04,246,42,916
mcuban,[  41   10 2021],@Sean_M_Potts When any of those things become contagious and transmitted through the air.  Then it may  happen. Deal with it :),9,0,40
mcuban,[  41   10 2021],"@Lapo13 Let me ask a question. If 100pct of people are vaccinated in a country, what percent of people hospitalized with covid will be vaccinated ?",22,0,77
mcuban,[  41   10 2021],"@0xMacmillan If you have insurance and are one of the rare fewthat have a bad reaction, its covered by your insurer",11,0,16
mcuban,[  41   10 2021],"@oforsuredude When one of them becomes contagious and is spread through the air, I will",61,2,262
mcuban,[  41   10 2021],@Josh_Weaver816 How many of them are contagious ?,5,0,4
mcuban,[  41   10 2021],@wrusry @DrJBhattacharya They do explain it. Very succinctly. People just wont read it.  Go to the VAERS page and read what it says. Its an early warning system. Not a reviewed data source.   You could say the vaccine turned you into an alien and it would accept it.,2,0,5
mcuban,[  41   10 2021],"Simple. It's in the best interest of a country when people  who catch Covid are less likely to be hospitalized or die, don't you think? The more people who are vaccinated, the less people in the hospital using scarce resources and more importantly, the fewer that die ! https://t.co/3y2viebYgg",885,224,3762
mcuban,[  41   10 2021],"@wrusry @DrJBhattacharya I put the chart numbers in a SS against the 45.3m vaxxed and 22m unvaxxed in the UK, there were vaxxed cases 246.2k/45.3 and unvaxxed 337.5k/22 during that period. I excluded the single shots (which make the unvaxxed worse), but it suggests a different perspective.",2,0,1
mcuban,[  41   10 2021],"@wrusry @DrJBhattacharya That's not breaking news. Any vax &lt;100%  VE cant stop infection. And not all infections are equal. In a vaxxed person the risk is far less than in an unvaxxed. Agree ? A policy goal of minimizing the risk of death &amp; hospitalization is a positive, isn't it ?",11,3,50
mcuban,[  41   10 2021],"@DrJBhattacharya the first step is to take the footnotes as serious as you take the data ""Interpretation of the case rates... is particularly susceptible to changes in the denominator and should be interpreted with extra caution""  Why do you think this is in there ? https://t.co/QFfdeSBBdp",10,2,56
mcuban,[  41   10 2021],"@Splashin_Treys Dont need 18 months. Just do the last 4 weeks. And while you are at it, do the # of cases and the number of unvaxxed adults  those kids infected. I'll be right here waiting.",11,0,7
mcuban,[  41   10 2021],"@Cats_Explained We came to this conclusion after our customers reached out to us and we discussed the issue with them. Nothing will be perfect, and at some point if cases drop much further there will be different protections. But we have always and always will take precautions to protect .",8,0,11
mcuban,[  41   10 2021],"@oc_xela @joshmazr @MavsFansForLife Same as Josh, DM me when you come to a game. We are putting together additional precautions for those who need it",0,0,17
mcuban,[  41   10 2021],"@joshmazr @CBAMavs @MavsFansForLife Dm me, we are putting together special accomodations for anyone who is immunocompromised.  We will do all we can to help.",0,1,10
mcuban,[  41   10 2021],@cryptonewsdaily @AZWildcats9 Everything I do related to this is data driven. Feel free to read my timeline.,3,2,7
mcuban,[  41   10 2021],@TheRealChov @jlbpharmd Lol,7,0,9
mcuban,[  41   10 2021],"@YugiCoin @loc_nate @mak3333 I didn't cut it off. As the numbers show, the increase in cases over the last 2 weeks are dramatic.  hospitalizions and fatalities follow. Kids don't get covid and immediately get rushed to the hospital and die.",15,0,3
mcuban,[  41   10 2021],@ljamie6 @LoneMavs @cyntmarshall https://t.co/YyeMnHzkUT,5,0,0
mcuban,[  41   10 2021],@loc_nate @mak3333 https://t.co/pOGcbROaXl,2,0,4
mcuban,[  41   10 2021],@mak3333 Let me help some folks. The fatality rates are cumulative. They will be low. What matters is the CHANGE in the number of cases recently. Child cases are escalating rapidly through the last 3  weeks. Hospitalizations and fatalities follow. https://t.co/ObnzjzZkXp,10,3,22
mcuban,[  41   10 2021],https://t.co/HaEoTwjU3l https://t.co/2t2ZPzUeqr,217,77,1390
mcuban,[  41   10 2021],@Sevenontheriver https://t.co/v8Ukjc8eui there are other bad outcomes for kids that catch covid,14,2,34
mcuban,[  41   10 2021],@mak3333 https://t.co/v8Ukjc8eui,20,1,36
