user,date,content,replyCount,retweetCount,likeCount
soumitradutta,[  42   10 2021],"#Ad A recent study by @WesternUnion shows how students are now choosing #specialization over #reputation when pursuing an international education! To find out more about the interesting findings of the study, refer  to their website https://t.co/hLW3sMYe6Q",1,1,7
soumitradutta,[  40   10 2021],The following newsletter is a useful summary on AI. https://t.co/uHrwQCc7MQ via @revue,0,1,1
soumitradutta,[  49   11 2020],"I'm attending REUTERS NEXT - uniting global leaders and forward thinkers to reimagine solutions to the challenges the new year brings. Registration is free for a limited time only, register now https://t.co/4CjZDzohb6",0,1,2
soumitradutta,[  43   10 2020],2020 Edition of Network Readiness Index Report Reveals Most Future-Ready Societies https://t.co/1bZWzKuqKZ,0,1,1
soumitradutta,[  41   10 2020],"To enrich the discussion around the launch of the 2020 NRI, @PortulansI  Portulans Institute is excited to share the Dialogue on Digital Transformation series featuring conversations with global thought leaders. Follow the dialogue on our blog. https://t.co/LE3Meu0lkH",0,1,1
soumitradutta,[  41   10 2020],"I will be speaking at @Sibos , the global financial services networking event organized by SWIFT. @Sibos  connects more than 8,000 executives and thought-leaders. This year Sibos is free to all and registration ends tomorrow: https://t.co/bQGlrJG9XY",0,1,3
soumitradutta,[  38    9 2020],It is both instructive and inspiring to listen to Steve Jobs in 1988 and some other legends of the Silicon Valley/Tech history. https://t.co/fGGs30D1yH,0,0,2
soumitradutta,[  38    9 2020],Read about how one of the world's largest fully remote company actually functions...there are secrets to working remotely and effectively as an organization. Read the article to learn these good practices and to become better at remote working. https://t.co/WMlmh06Y1g,0,0,2
soumitradutta,[  38    9 2020],Interesting story on how President Trump's re-election campaign is no technology Luddite. https://t.co/TZFumdKYt7,0,0,0
soumitradutta,[  37    9 2020],Happy to share my blog for GBSN @gbsnonline. GBSN is innovating with the GBSN Beyond Conference on Nov 9 to 13 -  a unique way for GBSN to engage with all key stakeholders on a digital platform.   https://t.co/9SzjDfVA95,0,0,0
soumitradutta,[  37    9 2020],"For the first time, Korea entered the top ten in the @GI_Index 2020 ranking published by World Intellectual Property Organization – @WIPO , @Cornell University and @INSEAD . Hear my interview with a Korean Radio Station about Korea's progress: https://t.co/Yr1Q9Wfc2w",0,1,5
soumitradutta,[  37    9 2020],Are you ready for a shock? Read this article written entirely by an intelligent AI program.....I was blown away by it. Can you imagine the future? https://t.co/SVchxV7dto,0,1,3
soumitradutta,[  36    9 2020],Pleased to speak at the Latin American launch of the @GI_Index Global Innovation Index  organized by the Inter-American Development Bank on 14th September. https://t.co/QPAHcOTYxr,1,1,11
soumitradutta,[  36    9 2020],Easy to game an AI algorithm used for grading exam answers? Read this interesting story. https://t.co/p8wHyYEW4g,0,0,1
soumitradutta,[  36    9 2020],"I was pleased to participate today in the Brazil launch of the 2020 Global Innovation Index together with Bruno Lanvin and Pedro Wongtschowski, Advisory Board Member of the Global Innovation Index. Video can be viewed at: https://t.co/0lyZKfhkvy",0,0,5
soumitradutta,[  36    9 2020],"I am pleased to present on the theme of ""Measuring the Digital Economy"" for the @Luohan_Academy on 7th September at 10am ET. You can register with the QR code below or at the link: https://t.co/VmKvzaVlhy https://t.co/bBJt250ZMn",0,1,6
soumitradutta,[  36    9 2020],Press conference today with DG Francis Gurry  of @WIPO   and my Global Innovation Index Co-editors Bruno Lanvin and Sacha Dr. Wunsch-Vincent on the results of the Global Innovation Index. Rankings will be released publicly tomorrow...watch the tweets! https://t.co/3JocXA3cfR,0,0,2
soumitradutta,[  36    9 2020],"Announcing the global launch of the 2020 edition of the @GI_Index on 2nd Sep at 11am CET. There will be special messages from Mr. Francis Gurry, DG of @WIPO Mr. Wang Zhigang, Minister for Science and Technology, China and other Ministers. Details at: https://t.co/IpabLsnxHl https://t.co/Ur2TgNgO30",1,1,5
soumitradutta,[  35    8 2020],Which countries are the most innovative? Find out on Sep 2nd with the launch of the @GI_Index Global Innovation Index 2020 results. Results will be released in a virtual launch at the link:  https://t.co/dDwF0klROj https://t.co/KglvltIYGX,0,0,3
soumitradutta,[  35    8 2020],Pleased to announce an exciting set of executive education programs delivered by Igesia Academy through live virtual lectures in collaboration with @FollowCII  and UCLA Extension. These programs promote inclusive education through high quality education at affordable price points https://t.co/4YlZFrJSuC,0,0,0
soumitradutta,[  34    8 2020],"Pleased to see the Vice President of India, Venkaiah Naidu mention India's steady progress on the @GI_Index Global Innovation Index. https://t.co/EDzQBtrSrr",0,0,2
soumitradutta,[  34    8 2020],What is broken? The algorithm or the system? Read about the UK exam debacle to see the complexity of designing algorithms that fit our lives and enable a positive future for all. https://t.co/4BmQgFV2m3,0,0,1
soumitradutta,[  34    8 2020],Can America learn something from Europe about regulating Big Tech? Read about some interesting perspectives on important questions ahead of us. https://t.co/v2odbigZ9s,0,0,1
soumitradutta,[  33    8 2020],"Now that @KamalaHarris has made the headlines again, here is a nice article on her from 2018. https://t.co/m09l0R5DTS",0,1,1
soumitradutta,[  33    8 2020],"Covid-19 has accelerated digitization across sectors and around the globe. In case you are wondering how the Covid crisis has changed the topics discussed within digitization, you may want to read this interesting analysis from the World Economic Forum https://t.co/u0fpllOgEo",0,1,2
soumitradutta,[  32    8 2020],Interesting interview with President Daniels of Purdue University. University Presidents are in a bind - to open campuses or not? https://t.co/33IUs4YmsX,0,0,0
soumitradutta,[  28    7 2020],"Pleased to have participated in a webinar organized by Yonsei University on the future of higher education with eminent academic leaders from Cornell University, VinUniversity and Kyoto University. Link to the video is attached. https://t.co/i1IeZTTGdW",0,2,4
soumitradutta,[  27    7 2020],"Interesting note about the New Global University by Jamal Eddine Benhayoun. While it precise contours remain to be defined, this could well be the precursor for the university of the future. https://t.co/GObnZf8Cqn",0,0,1
soumitradutta,[  27    7 2020],Pleased to share my presentation in the William W Brown Seminar Series at the The American University in Cairo earlier this week. The topic of my presentation was: Technology and Innovation Competitiveness for a post-COVID World. https://t.co/rN0e0n10Pf,0,3,5
soumitradutta,[  26    6 2020],Pleased to be invited to present the Willard W. Brown International Business Leadership Webinar on “Technology and Innovation Competitiveness for a post-COVID World” at the The American University in Cairo on June 30th. Free registration at: https://t.co/TiskDrFzk0 https://t.co/qs8bvFpijj,0,1,5
soumitradutta,[  25    6 2020],Pleased to be supporting the Global Compact in a discussion on the future of education. A very timely topic indeed. https://t.co/Q3qH77dTy1,0,0,2
soumitradutta,[  24    6 2020],"Agree with Francisco Marmolejo that now is a good time to rethink higher education. Going back to the ""usual"" normal is not the right way forward. https://t.co/sEP2pMXxq3",0,0,0
soumitradutta,[  24    6 2020],All of us have lived through the last few months of confinement and suffered other consequences of the Covid pandemic. Does all of this equate to a grand experiment on us humans?https://t.co/an8yPdIACL,0,0,1
soumitradutta,[  24    6 2020],"@WIRED has published an interesting article on advanced AI based text generation capabilities, now going commercial. You can also try a text generator yourself at: https://t.co/K1lE9WUIyF  https://t.co/dXg3NQWeRS",0,0,1
soumitradutta,[  24    6 2020],"Pleased to be presenting on Innovation in a post-Covid world in the ""Great Contemporary Innovators Series"" hosted by Prof. Grzegorz Mazurek - Rector of Kozminski University, Poland and organized by https://t.co/14rG5aJeeF. The weblink for the webinar is:  https://t.co/swG5AKKV6N https://t.co/JMbZZE9xW0",0,2,2
soumitradutta,[  24    6 2020],I recommend a blog written by @cesifoti Cesar A. Hidalgo on the economics of knowledge. Some interesting insights for helping nations innovate and build knowledge economies are mentioned. https://t.co/giuuZG02oz,0,16,28
soumitradutta,[  23    6 2020],"Was pleased to take part in the @FollowCII Annual Summit and share the panel ""Future Stakes: Collaboration or Alienation"" with Ambassadors Nicholas Burns and Kishore Mahbubani. https://t.co/ap0Gk3zZLC",0,0,1
