user,date,content,replyCount,retweetCount,likeCount
travisk,[  23    6 2019],"Computation powered by light! Excited to be a part of @luminousai and the next generation of computation...
 
https://t.co/KNg7Y7jVb1",170,130,708
travisk,[  12    3 2019],Excited to invest alongside @sequoia and others in @letigreNYC’s new logistics company in Indonesia. Love supporting all the entrepreneurs coming out of @Uber https://t.co/nNDZdAkwUv,96,102,682
travisk,[  28    7 2018],.@Ale_Artacho couldn’t be more excited to have you as part of the 10100 family! looking forward to helping you reshape residential real estate across Europe and the world! https://t.co/uJH2GwbZHL,113,38,325
travisk,[  24    6 2018],"residential real estate marketplace undergoing a major renovation ... 10100 is excited to support Eric, Gautam and the entire @Opendoor team! https://t.co/16wCTB3lB1",98,43,429
travisk,[  14    4 2018],I'm thrilled to join the board of @StyleSeat. I angel invested in 2009 and have been a believer in Melody and her vision of enabling entrepreneurship &amp; powering job creation ever since. Looking forward to working with the SS team! https://t.co/EavvtSYYW2,71,48,487
travisk,[  12    3 2018],Thx dara! Excited to be partners :) https://t.co/VIGoW4VPUn,60,41,564
travisk,[  12    3 2018],My new gig... https://t.co/vpD528cdyf,185,385,2265
travisk,[  11    3 2018],@garyvee Challenge accepted,4,1,113
travisk,[  10    3 2018],Some news… https://t.co/urFBrb9aCV,260,917,4210
travisk,[   9    3 2018],@bobruley @techreview https://t.co/gypR2upZuZ,0,0,2
travisk,[   9    3 2018],Angel invested in @gokareo in 2009... Excited to dig in even deeper on healthcare innovation with my friend and Kareo founder/CEO Dan Rodrigues https://t.co/TR4FgfCZPE,28,29,312
travisk,[   4    1 2018],@naval If you love learning and building there is no judgement in starting over,21,232,1056
travisk,[   3    1 2018],‘Letter from the Birmingham Jail’ #mlk https://t.co/mXrV8DqXrs,26,46,280
travisk,[   2    1 2018],#jeopardy #bucketlist #2018&gt;2017 https://t.co/9d9VildwrC,83,138,1461
travisk,[  39    9 2017],Ursula &amp; John bring 50+ years of combined executive experience to @Uber's board - helping the company become stronger now &amp; for the future https://t.co/osyby4TI5r,98,49,308
travisk,[  36    9 2017],Proud of the values and leadership @dkhos brings to our country and to @uber on his first day as CEO. #DREAMers make America. https://t.co/aqo5LYUUFQ,106,155,815
travisk,[  22    6 2017],I stepped down from the Presidential biz council on Feb 2. Uber cares abt climate change https://t.co/cHMbE2yIpv https://t.co/Spyznv0KoC,88,101,438
travisk,[  21    5 2017],Hello New York!,72,11,165
travisk,[  19    5 2017],#mathsocks #friyay #offtolaformothersday @ Castro (São Francisco) https://t.co/dch9aaRJCm,13,3,35
