user,date,content,replyCount,retweetCount,likeCount
trvisXX,[  43   10 2021],SEE YA IN NOVEMBER https://t.co/VZxRyiS2p0,2166,16110,126758
trvisXX,[  40   10 2021],https://t.co/eLIaGOtevF,517,2875,34041
trvisXX,[  40   10 2021],"New Don T 2nite 
I’m driving around all day on high volume.",1074,12562,113587
trvisXX,[  37    9 2021],"Utopia I can’t wait for Sonics 
📢📢📢📢📢📢📢📢📢 https://t.co/kE2e6izNLr",1673,11166,142096
trvisXX,[  37    9 2021],Thank u mj for letting go crazy in the spot. Love u man.,666,2572,61713
trvisXX,[  37    9 2021],"Chase slime Mia David sick Tyler Wifey. I love yallll ahhhhhhhhhhhhhhh 
Im about to get wasted.",613,1770,29742
trvisXX,[  37    9 2021],Ahhhhhhhhhh fucjjjkkkk ahhhhhh ahhh fuck,3802,25848,208624
trvisXX,[  35    9 2021],Cut off today https://t.co/f4tFaOiOe5,480,1188,24287
trvisXX,[  35    9 2021],Happy aniverse to birds in the trap sing mcKnight  a true time where I was in a trance and somehow got thru it with that  album.,1484,21419,178256
trvisXX,[  32    8 2021],"Low levels. 
https://t.co/AJ4e7OqsBS https://t.co/p5QE7ts9Qo",1442,3205,53448
trvisXX,[  32    8 2021],"Phase 2 designing
Cars , hotels , buildings",1122,2328,49729
trvisXX,[  32    8 2021],Well fuck obviously my pocket likes to tweet lmaoo,1804,4525,113971
trvisXX,[  30    7 2021],"I can’t wait to come back to Japan  
I haven’t been in so long",1991,5259,107195
trvisXX,[  30    7 2021],"I made a small amount of these for the gang and I had to make sure that I save some for  guys love y’all so much. 
https://t.co/AJ4e7OqsBS https://t.co/kblegGQ3Gc",2439,5114,113845
trvisXX,[  30    7 2021],Hmmmmm.....,6189,15348,218155
trvisXX,[  29    7 2021],"HMM SOME ONE ASK ME HOW IM STARTING I SAID THIS IS HOW. 
WHO CAN REMEMBER THIS BY TONIGHT. https://t.co/Ra76ejg77H",2184,30799,148130
trvisXX,[  29    7 2021],"OK IM  UP TODAY NO GAMES. 
I WANNA SEE THE RAGE SWEAT AND TEARS",1290,8653,124967
trvisXX,[  29    7 2021],"Ahhhhhh 
      Can’t wait for stadiums",2143,12682,183115
trvisXX,[  26    7 2021],What the fuck is up yalll !!!,6802,12474,183440
trvisXX,[  25    6 2021],MEET ME IN THE RAGE AND IM SNEAKING YALL IN THE BACK!!! https://t.co/Blr9harA3f &amp; https://t.co/QvG26pwMFa https://t.co/aozOLj7D8b,476,2537,39609
trvisXX,[  22    6 2021],Im hungry as fuck,5106,24600,162194
trvisXX,[  22    6 2021],"Of courseeeee. 1 last time,  a couple more times !!!!  When and where? We got the fest coming soon Love  galore and Good  dayzzzz. 🔥🔥🔥 https://t.co/XyYBpZORZ8",1558,23429,209978
trvisXX,[  21    5 2021],Type A https://t.co/tsn6Vippqg,1070,2379,84530
trvisXX,[  20    5 2021],This shit gon move mountains,1392,7737,96265
trvisXX,[  20    5 2021],I got a new type,2327,13998,151218
trvisXX,[  19    5 2021],Got u kiddd https://t.co/ITtviMR3b3,1681,1811,54235
trvisXX,[  18    5 2021],Say lesss got u https://t.co/vu3LamlCxu,1288,659,24554
trvisXX,[  18    5 2021],Tell your bro to tweet me and I  got him https://t.co/xRw1MZahg0,1099,1000,30239
trvisXX,[  18    5 2021],NAW AND WE STILL SNEAKING THE WILD ONES IN. !!!!!,2099,7072,100023
